p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
1.18738413051e-08	5.69944382643e-07	GO:0005524	m	3	ATP binding	67470; 68612; 69716; 70218; 209737; 74044; 270685; 109242; 208084; 110033; 12235; 12534; 12704; 78943; 16551; 16571; 17279; 17345; 17776; 18005; 18817; 19348; 19366; 100502766; 20877; 20878; 73804; 21877; 21973; 22137; 22390; 20393; 12236; 381293; 52033	ENSMUSG00000040084; ENSMUSG00000028678; ENSMUSG00000020715; ENSMUSG00000001403; ENSMUSG00000029516; ENSMUSG00000019970; ENSMUSG00000028438; ENSMUSG00000030677; ENSMUSG00000031016; ENSMUSG00000035683; ENSMUSG00000003779; ENSMUSG00000024254; ENSMUSG00000019942; ENSMUSG00000040675; ENSMUSG00000020914; ENSMUSG00000030867; ENSMUSG00000041498; ENSMUSG00000027379; ENSMUSG00000020897; ENSMUSG00000038379; ENSMUSG00000003810; ENSMUSG00000021569; ENSMUSG00000041064; ENSMUSG00000051378; ENSMUSG00000036768; ENSMUSG00000027496; ENSMUSG00000022033; ENSMUSG00000033222; ENSMUSG00000034311; ENSMUSG00000028702; ENSMUSG00000031004; ENSMUSG00000025574; ENSMUSG00000026622; ENSMUSG00000012443; ENSMUSG00000079553	1495	1493
2.6807862973e-08	6.43388711353e-07	GO:0019899	m	3	enzyme binding	68612; 68743; 70024; 623781; 235497; 268697; 72119; 394436; 665433; 404710; 11799; 12316; 12428; 12442; 12449; 12704; 12952; 78943; 13605; 79362; 14235; 215387; 546049; 16551; 213783; 70385; 17776; 18005; 18627; 18628; 18817; 19348; 20877; 20878; 21973; 20393; 56419; 211651; 107995; 12953; 240913; 381293; 233406; 53376; 26934	ENSMUSG00000069910; ENSMUSG00000023015; ENSMUSG00000020715; ENSMUSG00000001403; ENSMUSG00000029516; ENSMUSG00000094248; ENSMUSG00000027469; ENSMUSG00000034023; ENSMUSG00000019970; ENSMUSG00000034906; ENSMUSG00000030256; ENSMUSG00000006398; ENSMUSG00000003779; ENSMUSG00000041431; ENSMUSG00000028957; ENSMUSG00000036777; ENSMUSG00000032010; ENSMUSG00000041498; ENSMUSG00000020914; ENSMUSG00000030867; ENSMUSG00000089960; ENSMUSG00000033952; ENSMUSG00000065952; ENSMUSG00000003810; ENSMUSG00000028068; ENSMUSG00000055866; ENSMUSG00000027699; ENSMUSG00000001517; ENSMUSG00000055926; ENSMUSG00000020038; ENSMUSG00000026669; ENSMUSG00000020897; ENSMUSG00000068742; ENSMUSG00000038943; ENSMUSG00000006403; ENSMUSG00000027715; ENSMUSG00000032218; ENSMUSG00000017716; ENSMUSG00000072082; ENSMUSG00000027496; ENSMUSG00000040624; ENSMUSG00000026622; ENSMUSG00000022021; ENSMUSG00000012443; ENSMUSG00000042487	2339	2339
6.64764152629e-07	1.06362264421e-05	GO:0032553	m	3	ribonucleotide binding	67470; 68203; 68612; 68895; 69716; 70218; 209737; 74044; 270685; 109242; 208084; 110033; 12235; 12534; 12704; 78943; 16551; 16571; 17279; 17345; 17776; 18005; 18817; 19348; 19366; 100502766; 20877; 20878; 73804; 21877; 21973; 22137; 22390; 20393; 12236; 381293; 52033	ENSMUSG00000040084; ENSMUSG00000028678; ENSMUSG00000020715; ENSMUSG00000001403; ENSMUSG00000029516; ENSMUSG00000019970; ENSMUSG00000047842; ENSMUSG00000028438; ENSMUSG00000030677; ENSMUSG00000031016; ENSMUSG00000035683; ENSMUSG00000029641; ENSMUSG00000024254; ENSMUSG00000019942; ENSMUSG00000040675; ENSMUSG00000020914; ENSMUSG00000030867; ENSMUSG00000041498; ENSMUSG00000027379; ENSMUSG00000020897; ENSMUSG00000038379; ENSMUSG00000003810; ENSMUSG00000021569; ENSMUSG00000041064; ENSMUSG00000051378; ENSMUSG00000003779; ENSMUSG00000036768; ENSMUSG00000027496; ENSMUSG00000022033; ENSMUSG00000033222; ENSMUSG00000034311; ENSMUSG00000028702; ENSMUSG00000031004; ENSMUSG00000025574; ENSMUSG00000026622; ENSMUSG00000012443; ENSMUSG00000079553	1926	1924
1.12986279092e-06	1.33079592045e-05	GO:0004672	m	3	protein kinase activity	268697; 12235; 12428; 12442; 12449; 12534; 12704; 78943; 17279; 17776; 18005; 18817; 20877; 20878; 22137; 22390; 20393; 12236; 52033	ENSMUSG00000040084; ENSMUSG00000035683; ENSMUSG00000041431; ENSMUSG00000038379; ENSMUSG00000029516; ENSMUSG00000027715; ENSMUSG00000022033; ENSMUSG00000032218; ENSMUSG00000019942; ENSMUSG00000019970; ENSMUSG00000072082; ENSMUSG00000030867; ENSMUSG00000020897; ENSMUSG00000027379; ENSMUSG00000026622; ENSMUSG00000027496; ENSMUSG00000003810; ENSMUSG00000031016; ENSMUSG00000020715	634	633
1.66349490057e-06	1.33079592045e-05	GO:0000166	m	3	nucleotide binding	67470; 68203; 68612; 68895; 69716; 70218; 209737; 74044; 270685; 109242; 208084; 110033; 12235; 12534; 12704; 12952; 78943; 16551; 16571; 17279; 17345; 17776; 18005; 18817; 19348; 19366; 100502766; 20877; 20878; 73804; 21877; 21973; 22137; 22390; 20393; 12953; 12236; 381293; 52033	ENSMUSG00000040084; ENSMUSG00000028678; ENSMUSG00000020715; ENSMUSG00000001403; ENSMUSG00000029516; ENSMUSG00000019970; ENSMUSG00000047842; ENSMUSG00000028438; ENSMUSG00000030677; ENSMUSG00000031016; ENSMUSG00000035683; ENSMUSG00000029641; ENSMUSG00000024254; ENSMUSG00000019942; ENSMUSG00000040675; ENSMUSG00000020914; ENSMUSG00000030867; ENSMUSG00000041498; ENSMUSG00000027379; ENSMUSG00000020897; ENSMUSG00000038379; ENSMUSG00000003810; ENSMUSG00000021569; ENSMUSG00000041064; ENSMUSG00000020038; ENSMUSG00000068742; ENSMUSG00000051378; ENSMUSG00000003779; ENSMUSG00000036768; ENSMUSG00000027496; ENSMUSG00000022033; ENSMUSG00000033222; ENSMUSG00000034311; ENSMUSG00000028702; ENSMUSG00000031004; ENSMUSG00000025574; ENSMUSG00000026622; ENSMUSG00000012443; ENSMUSG00000079553	2171	2169
1.66349490057e-06	1.33079592045e-05	GO:1901265	m	3	nucleoside phosphate binding	67470; 68203; 68612; 68895; 69716; 70218; 209737; 74044; 270685; 109242; 208084; 110033; 12235; 12534; 12704; 12952; 78943; 16551; 16571; 17279; 17345; 17776; 18005; 18817; 19348; 19366; 100502766; 20877; 20878; 73804; 21877; 21973; 22137; 22390; 20393; 12953; 12236; 381293; 52033	ENSMUSG00000040084; ENSMUSG00000028678; ENSMUSG00000020715; ENSMUSG00000001403; ENSMUSG00000029516; ENSMUSG00000019970; ENSMUSG00000047842; ENSMUSG00000028438; ENSMUSG00000030677; ENSMUSG00000031016; ENSMUSG00000035683; ENSMUSG00000029641; ENSMUSG00000024254; ENSMUSG00000019942; ENSMUSG00000040675; ENSMUSG00000020914; ENSMUSG00000030867; ENSMUSG00000041498; ENSMUSG00000027379; ENSMUSG00000020897; ENSMUSG00000038379; ENSMUSG00000003810; ENSMUSG00000021569; ENSMUSG00000041064; ENSMUSG00000020038; ENSMUSG00000068742; ENSMUSG00000051378; ENSMUSG00000003779; ENSMUSG00000036768; ENSMUSG00000027496; ENSMUSG00000022033; ENSMUSG00000033222; ENSMUSG00000034311; ENSMUSG00000028702; ENSMUSG00000031004; ENSMUSG00000025574; ENSMUSG00000026622; ENSMUSG00000012443; ENSMUSG00000079553	2171	2169
1.06012409333e-05	7.26942235426e-05	GO:0043515	m	3	kinetochore binding	70385; 22137; 26886	ENSMUSG00000069910; ENSMUSG00000045273; ENSMUSG00000038379	6	6
1.30895070752e-05	7.85370424512e-05	GO:0008092	m	3	cytoskeletal protein binding	66468; 68743; 70218; 209737; 109242; 404710; 110033; 11799; 16551; 16571; 17776; 18817; 19348; 100502766; 73804; 54141; 20393; 56419; 381293; 233406; 26934; 78767	ENSMUSG00000028678; ENSMUSG00000017716; ENSMUSG00000028068; ENSMUSG00000036777; ENSMUSG00000028438; ENSMUSG00000030677; ENSMUSG00000003779; ENSMUSG00000023015; ENSMUSG00000034311; ENSMUSG00000030867; ENSMUSG00000041498; ENSMUSG00000003810; ENSMUSG00000002055; ENSMUSG00000051378; ENSMUSG00000038943; ENSMUSG00000036768; ENSMUSG00000019970; ENSMUSG00000036223; ENSMUSG00000022021; ENSMUSG00000012443; ENSMUSG00000079553; ENSMUSG00000021176	963	963
6.6231551887e-05	0.000353234943397	GO:0043168	m	3	anion binding	67470; 68203; 68612; 330790; 68895; 69716; 70218; 209737; 394436; 74044; 270685; 109242; 208084; 110033; 12235; 12534; 12704; 78943; 14857; 16551; 16571; 17279; 17345; 17776; 18005; 18817; 19348; 19366; 100502766; 20877; 20878; 73804; 21877; 21973; 22137; 22390; 20393; 12953; 12236; 381293; 26934; 52033	ENSMUSG00000040084; ENSMUSG00000028678; ENSMUSG00000020715; ENSMUSG00000001403; ENSMUSG00000029516; ENSMUSG00000019970; ENSMUSG00000047842; ENSMUSG00000028438; ENSMUSG00000030677; ENSMUSG00000031016; ENSMUSG00000035683; ENSMUSG00000029641; ENSMUSG00000007594; ENSMUSG00000019942; ENSMUSG00000040675; ENSMUSG00000041498; ENSMUSG00000020914; ENSMUSG00000030867; ENSMUSG00000089960; ENSMUSG00000027379; ENSMUSG00000020897; ENSMUSG00000038379; ENSMUSG00000003810; ENSMUSG00000021569; ENSMUSG00000041064; ENSMUSG00000068742; ENSMUSG00000051378; ENSMUSG00000003779; ENSMUSG00000036768; ENSMUSG00000024254; ENSMUSG00000023015; ENSMUSG00000027496; ENSMUSG00000022033; ENSMUSG00000033222; ENSMUSG00000034311; ENSMUSG00000028702; ENSMUSG00000031004; ENSMUSG00000074183; ENSMUSG00000025574; ENSMUSG00000026622; ENSMUSG00000012443; ENSMUSG00000079553	2825	2822
9.88751805979e-05	0.00047460086687	GO:0016772	m	3	transferase activity, transferring phosphorus-containing groups	268697; 12235; 12428; 12442; 12449; 12534; 12704; 78943; 17279; 17776; 18005; 18817; 20877; 20878; 21877; 22137; 22390; 20393; 12236; 52033	ENSMUSG00000040084; ENSMUSG00000035683; ENSMUSG00000041431; ENSMUSG00000038379; ENSMUSG00000029516; ENSMUSG00000027715; ENSMUSG00000022033; ENSMUSG00000032218; ENSMUSG00000019942; ENSMUSG00000019970; ENSMUSG00000072082; ENSMUSG00000030867; ENSMUSG00000020897; ENSMUSG00000027379; ENSMUSG00000025574; ENSMUSG00000026622; ENSMUSG00000027496; ENSMUSG00000003810; ENSMUSG00000031016; ENSMUSG00000020715	948	947
