GeneID,Base mean,log2(FC),StdErr,Wald-Stats,P-value,P-adj,Chromosome,Start,End,Strand,Feature,Gene name
ENSMUSG00000021091.9,410.291652183505,-2.11731406296516,0.302246247181807,-7.0052617119562,2.46524575048479e-12,6.44883635869316e-08,chr12,104372987,104380588,+,,Serpina3n
ENSMUSG00000117664.3,16.8729576540123,-2.42197186510738,0.38453232459955,-6.2984870456069,3.0056483961915503e-10,3.93123781979873e-06,chr19,32943465,32957815,-,,Gm36860
ENSMUSG00000003477.6,58.3556010560617,-2.25438785696872,0.363699031103847,-6.19849838512499,5.70043905765743e-10,4.97059284364202e-06,chr6,55147610,55152028,-,,Inmt
ENSMUSG00000062515.4,2361.6673472979,-2.33120360932837,0.387156006217653,-6.02135462679044,1.7296332953489102e-09,1.1311369343258e-05,chr3,10269147,10273636,-,,Fabp4
ENSMUSG00000046618.8,224.19158571621,-1.35538430544914,0.231466671762047,-5.855634831275,4.75191314276914e-09,2.07175493169497e-05,chr2,38821989,38853765,+,,Olfml2a
ENSMUSG00000041653.6,88.7324309162299,-1.99891820115606,0.344566263540462,-5.80125918485727,6.5818771465574905e-09,2.45964748966853e-05,chr15,84052037,84071437,+,,Pnpla3
ENSMUSG00000020963.16,60.1225578953488,-2.28306763893881,0.396022154125171,-5.76499979901932,8.16579385391483e-09,2.67011251780698e-05,chr12,91351336,91516582,+,,Tshr
ENSMUSG00000064115.14,59.9695237083972,-1.5784585678855,0.276127237137975,-5.71641749016153,1.08793257508641e-08,3.16213647018727e-05,chr16,66452306,67417796,-,,Cadm2
ENSMUSG00000031722.11,55.1401836383657,-2.2233955181867,0.395076309684763,-5.62776219095693,1.82562540858055e-08,4.77565350630585e-05,chr8,110301759,110305804,-,,Hp
ENSMUSG00000022935.17,45.8551653030352,-1.42420666684211,0.255025247745655,-5.58457125101008,2.34277455770831e-08,5.57133087773561e-05,chr16,87692787,88087153,-,,Grik1
ENSMUSG00000046275.3,138.611941991566,-1.98593880285531,0.360886449591828,-5.50294643952817,3.73495916145078e-08,7.5155997464916e-05,chr11,76570633,76589490,+,,Trarg1
ENSMUSG00000022665.16,862.089208100754,-1.53324247975391,0.277931913825678,-5.51661181563906,3.45597636061756e-08,7.5155997464916e-05,chr16,44913764,44948440,+,,Ccdc80
ENSMUSG00000026586.17,35.7213315626305,-1.90308157078258,0.348699427102724,-5.45765614413225,4.82460824818858e-08,9.01478051174036e-05,chr1,163072687,163141279,-,,Prrx1
ENSMUSG00000028427.14,65.5468278991172,-2.00937170439222,0.372382070274259,-5.39599477201554,6.81449306636557e-08,0.0001132106903469,chr4,41033073,41048139,-,,Aqp7
ENSMUSG00000002944.16,1198.95534374709,-1.90698778426359,0.353596391354263,-5.39312003994127,6.92446594117399e-08,0.0001132106903469,chr5,17986687,18093799,-,,Cd36
ENSMUSG00000019789.10,68.4150737492553,-1.2827021006671,0.247340427094675,-5.18597835272645,2.14883770272541e-07,0.0002929600354054,chr10,30708354,30718797,-,,Hey2
ENSMUSG00000062609.15,28.9380439061195,-1.85210269541041,0.357670029560561,-5.17824403035929,2.23984124320854e-07,0.0002929600354054,chr16,95058416,95101119,+,,Kcnj15
ENSMUSG00000015568.17,3030.45874460312,-1.99314630074911,0.388355516789736,-5.13227240139411,2.86264787065502e-07,0.0003565905030879,chr8,69333142,69360100,+,,Lpl
ENSMUSG00000033981.15,98.751850759933,-1.26843147327738,0.249167857027474,-5.0906705560241,3.56799471862993e-07,0.0004185669903103,chr3,80588756,80710142,-,,Gria2
ENSMUSG00000039601.17,174.27329073101,-1.13730893042374,0.223668519364125,-5.08479661624725,3.68020213966087e-07,0.0004185669903103,chr17,44112241,44350407,+,,Rcan2
ENSMUSG00000047216.9,346.321392347504,-1.51202507230032,0.297896846004143,-5.07566660265779,3.86139845212999e-07,0.0004208763421219,chr1,110816055,110905314,-,,Cdh19
ENSMUSG00000032401.16,24.0811253665615,-2.12026515022352,0.42133723332391,-5.03222830201084,4.84811422473609e-07,0.0005072872800194,chr9,64024428,64045400,+,,Lctl
ENSMUSG00000074264.13,96.3060252332062,-1.92839145052659,0.385289556116748,-5.00504469927096,5.58490697447557e-07,0.0005264533087044,chr3,113349358,113400348,-,,Amy1
ENSMUSG00000039860.20,32.0119150204804,-1.65184568676326,0.330149711275381,-5.0033231299283,5.63503675359275e-07,0.0005264533087044,chr5,135835743,135903626,+,,Srrm3
ENSMUSG00000055782.10,221.126473577032,-1.87808427697483,0.374501211257236,-5.0148950671479,5.30624167555581e-07,0.0005264533087044,chr15,91030073,91076002,-,,Abcd2
ENSMUSG00000024481.6,27.8975341865838,-1.59768381321036,0.320056734855091,-4.99187687437268,5.97953704621063e-07,0.0005393748606614,chr18,46983104,47040309,+,,Lvrn
ENSMUSG00000040026.9,89.5650853017386,-1.98772556335382,0.398944706067228,-4.98245880475191,6.27813592698877e-07,0.0005474325257136,chr7,46361421,46365124,-,,Saa3
ENSMUSG00000048138.11,8.55880395699169,-2.00861164503835,0.40714872772522,-4.93336097661576,8.08265779615649e-07,0.0006820459525472,chr19,25649774,25656355,+,,Dmrt2
ENSMUSG00000031842.16,159.292100803644,-1.00276258261408,0.207367656356437,-4.8356749564188,1.32694603157942e-06,0.0010209288600025,chr8,71176368,71203835,+,,Pde4c
ENSMUSG00000038508.8,41.8459656229273,1.60415085578509,0.333276282623176,4.81327636986052,1.48475732025989e-06,0.0011097076211622,chr8,71082042,71085106,-,,Gdf15
ENSMUSG00000020264.6,98.7212739382674,-1.87016036655301,0.38973146553805,-4.79858705781205,1.59788851950658e-06,0.0011610879383825,chr11,55049295,55075903,-,,Slc36a2
ENSMUSG00000056073.17,120.409969432214,-1.24892205872798,0.261684343895472,-4.7726281218675,1.81837358658784e-06,0.0012855901257176,chr10,48970928,49664862,-,,Grik2
ENSMUSG00000029762.7,1336.07154361976,1.36678854131566,0.287966850475618,4.74633986189111,2.07130569445294e-06,0.0014046665416778,chr6,34331053,34345398,+,,Akr1b8
ENSMUSG00000094491.3,6.60623514115762,1.98928328192983,0.41976970626321,4.73898724050011,2.14789027360047e-06,0.0014046665416778,chr6,67701885,67702645,+,,Igkv1-133
ENSMUSG00000020649.12,469.075970082548,1.15330937612708,0.243329426236464,4.7397036764732,2.14030995234672e-06,0.0014046665416778,chr12,24758239,24764145,+,,Rrm2
ENSMUSG00000015843.11,24.1861934048068,-1.32622825473456,0.281454867698801,-4.7120458977239,2.45242124389597e-06,0.0015647045687579,chr1,167425952,167467192,+,,Rxrg
ENSMUSG00000075420.7,1495.10652231282,1.04850173502447,0.222980599604272,4.70221058193073,2.57359868242753e-06,0.0016029230460386,chr11,115802842,115804746,+,,Smim6
ENSMUSG00000020059.10,7.18592846553507,-1.97701898112483,0.421381455081171,-4.69175602600736,2.70870025666462e-06,0.0016478346514904,chr10,88295430,88309098,+,,Sycp3
ENSMUSG00000025964.16,843.324675334535,-1.04254541211865,0.22296159785912,-4.67589675589511,2.92671833480727e-06,0.0016507815215546,chr1,63485049,63635435,+,,Adam23
ENSMUSG00000059824.13,1091.53479318527,-1.8768469289436,0.401442054515244,-4.67526236435283,2.93578050387655e-06,0.0016507815215546,chr7,45354511,45359627,+,,Dbp
ENSMUSG00000032942.15,20.8429272762223,-1.92323803851997,0.411259416434515,-4.67645958162812,2.91870094333505e-06,0.0016507815215546,chr7,100122196,100135639,+,,Ucp3
ENSMUSG00000084844.6,144.538260914977,-1.1842181441306,0.253408287745398,-4.67316264462666,2.96596702905576e-06,0.0016507815215546,chr11,96233786,96245517,-,,Hoxb3os
ENSMUSG00000047501.4,2762.93685160622,1.70267251483965,0.366916936612282,4.64048492980538,3.47592525790674e-06,0.001855647526971,chr5,134973972,134975788,-,,Cldn4
ENSMUSG00000094029.3,6.56050282788596,1.95564512863303,0.421368878805116,4.64117125635545,3.46439845317243e-06,0.001855647526971,chr12,114160058,114160495,-,,Ighv3-3
ENSMUSG00000037996.18,39.384588609229,-1.85996766491301,0.401594361976849,-4.63145860852557,3.63098594096903e-06,0.0018919709051456,chr4,86901360,87148714,-,,Slc24a2
ENSMUSG00000046764.10,7.5013875877231,-1.93831184138708,0.419169321205658,-4.62417391571479,3.7609422022086e-06,0.0018919709051456,chr6,60256027,60380796,-,,A530053G22Rik
ENSMUSG00000001247.17,2673.47024340106,1.00167228988201,0.216461443132963,4.62748596417113,3.7013130801993e-06,0.0018919709051456,chr7,30657194,30672889,-,,Lsr
ENSMUSG00000034579.18,292.984507858109,1.13518384755072,0.245969442097827,4.6151417748032,3.92827062277642e-06,0.0019388609664379,chr11,3438283,3449350,+,,Pla2g3
ENSMUSG00000048142.10,140.393699364658,-1.69716101984612,0.371719436902506,-4.56570426875807,4.97820167456582e-06,0.0024115699556475,chr5,34153327,34163260,+,,Nat8l
ENSMUSG00000058773.3,1348.44992401183,1.34720363874888,0.296161418405802,4.54888299090643,5.39314181606017e-06,0.002528983266302,chr13,21964052,21964795,-,,H1f5
ENSMUSG00000120082.2,31.1711529479205,-1.32245688281147,0.290773003682663,-4.54807312254732,5.41393260112831e-06,0.002528983266302,chr16,95259463,95259988,-,,Gm56622
ENSMUSG00000035455.13,213.709819792801,1.12343140847041,0.248269408930064,4.5250496761237,6.03813212208885e-06,0.0027710789154688,chr11,11737430,11758962,-,,Fignl1
ENSMUSG00000051504.19,52.3408405961204,-1.13189987159639,0.251476540937521,-4.50101575032244,6.76294937213832e-06,0.0030502067694097,chr7,55417925,55428673,+,,Siglech
ENSMUSG00000052131.8,203.965445610483,1.70861432829109,0.381395792630148,4.47989820891389,7.46786446909026e-06,0.0032558644441155,chr6,34389268,34400077,+,,Akr1b7
ENSMUSG00000092586.9,56.2184813735985,1.81847310152696,0.406805477351197,4.47012934380198,7.81723079111159e-06,0.0033523104961424,chr17,35284363,35289026,+,,Ly6g6c
ENSMUSG00000141472.1,13.0490277843794,-1.87611842129205,0.420315590733921,-4.46359464805035,8.05959720087272e-06,0.003400500051252,chr3,10261710,10275091,+,,ENSMUSG00000141472
ENSMUSG00000085331.3,18.4388163300936,1.71808848957676,0.386255596145366,4.44806109405897,8.66488872729886e-06,0.003541637878397,chr13,21941594,21955933,+,,Gm11274
ENSMUSG00000022389.16,2325.20015710247,-1.62716668920979,0.366480479582443,-4.43998188133714,8.99664518502621e-06,0.0036206652522323,chr15,81686621,81711064,+,,Tef
ENSMUSG00000049252.18,60.4822802138819,-1.2942880319304,0.2919619480042,-4.43307095591712,9.2900275054556e-06,0.0036271317838091,chr2,40485257,42543636,-,,Lrp1b
ENSMUSG00000076569.4,59.7469606266694,1.78776704220052,0.403251234806642,4.43338268525762,9.27659940858202e-06,0.0036271317838091,chr6,69877407,69877961,-,,Igkv5-39
ENSMUSG00000030302.18,90.4906214530265,-1.29794269379201,0.293624249780059,-4.4204206388411,9.8508959080819e-06,0.0037346316820219,chr6,113720791,114019574,-,,Atp2b2
ENSMUSG00000003123.16,1031.97605399802,-1.19051366369674,0.26919042182384,-4.42257066811917,9.75334324844616e-06,0.0037346316820219,chr7,25078951,25098135,-,,Lipe
ENSMUSG00000049939.7,15.4629218959671,-1.61154415303409,0.365023068748611,-4.41491042897332,1.01051822482882e-05,0.0037763066061852,chr6,28661829,28831746,-,,Lrrc4
ENSMUSG00000037071.4,24245.6554634806,-1.85419564086985,0.420977514747308,-4.40450042084275,1.06027935171998e-05,0.0039064574030482,chr19,44382893,44396318,-,,Scd1
ENSMUSG00000055421.9,198.852188992532,-1.0504054690276,0.238930912821068,-4.39627278289533,1.10125523793162e-05,0.0040010744123685,chr14,93250845,94128115,-,,Pcdh9
ENSMUSG00000055435.7,692.118861998094,-1.08855179279628,0.248054195780612,-4.38836275020736,1.1420717225141e-05,0.0040645669220915,chr8,116409680,116434533,-,,Maf
ENSMUSG00000095127.3,42.5815903262889,1.63432004902162,0.372546035980869,4.38689421219758,1.14980676721118e-05,0.0040645669220915,chr12,115916157,115916625,-,,Ighv1-82
ENSMUSG00000025776.14,58.7500942903755,-1.20602317843465,0.275435086458547,-4.37861128711412,1.1943794646921e-05,0.0041658363222507,chr1,17797268,17836568,+,,Crispld1
ENSMUSG00000059146.13,334.966275487071,-1.32000661312903,0.301895490700977,-4.37239592437794,1.22890404367058e-05,0.004229855378734,chr7,77825706,78387760,-,,Ntrk3
ENSMUSG00000042306.12,1354.79114422597,1.64946397205514,0.378152681605997,4.36189944508642,1.28938130920986e-05,0.0043803799568338,chr3,90434162,90436144,+,,S100a14
ENSMUSG00000022769.10,546.590266717115,1.08351805632979,0.248725392470881,4.35628242684003,1.32290062439992e-05,0.0044366355684201,chr16,16948001,16950247,-,,Sdf2l1
ENSMUSG00000030244.8,20.1131920486048,-1.81313104599052,0.417938990070701,-4.33826728079092,1.43610441613631e-05,0.0047553234711025,chr6,142368338,142418835,-,,Gys2
ENSMUSG00000063297.8,23.022793373746,-1.38054796903228,0.31929132492981,-4.32378790540511,1.53372754807775e-05,0.004953182583971,chr7,54485245,54918633,+,,Luzp2
ENSMUSG00000074217.9,56.3874869209833,1.21958979556591,0.282050540195506,4.32401155736322,1.5321726414276e-05,0.004953182583971,chr8,84736850,84738800,-,,Misp3
ENSMUSG00000050587.15,103.87048811421,-1.29181032625892,0.299158128030383,-4.31815219183256,1.573409250632e-05,0.0049588930828051,chr2,96148513,97462011,+,,Lrrc4c
ENSMUSG00000050520.5,1847.60643994988,1.40580316234724,0.325435302420589,4.31976233644866,1.56197327557685e-05,0.0049588930828051,chr16,88357715,88360071,-,,Cldn8
ENSMUSG00000049539.4,1378.72500008388,1.24314027781286,0.288743870358884,4.30533910994454,1.66730131165244e-05,0.0050922763261719,chr13,23947648,23948389,+,,H1f1
ENSMUSG00000022456.19,60.7625784142043,-1.33322291658257,0.309732441882466,-4.30443420288691,1.67413037215027e-05,0.0050922763261719,chr15,82153002,82178775,+,,Septin3
ENSMUSG00000026058.12,60.1535533231309,-1.05519957599668,0.246163619862635,-4.2865780759379,1.81446449052206e-05,0.005404205280923,chr1,32211794,32697649,+,,Khdrbs2
ENSMUSG00000040640.12,103.375050510273,-1.13840116801167,0.265600203845469,-4.28614568637158,1.81799787729358e-05,0.005404205280923,chr14,27344384,28200494,+,,Erc2
ENSMUSG00000048489.13,113.619781248554,-1.4866741690871,0.347684672823605,-4.27592668095943,1.90343864529893e-05,0.0055946125306039,chr6,116627569,116629755,+,,Depp1
ENSMUSG00000050097.7,633.747599984111,-1.55260398997724,0.36444850427896,-4.2601464178018,2.04293029372559e-05,0.0057141951083767,chr8,105558203,105566725,+,,Ces2b
ENSMUSG00000061911.16,69.0950877835954,-1.09636096522891,0.257033442269418,-4.26544093075531,1.99507794479868e-05,0.0057141951083767,chr12,29578382,29973212,+,,Myt1l
ENSMUSG00000096326.3,21.2631942702281,1.78432855687711,0.418683987014428,4.26175495652672,2.02827778265063e-05,0.0057141951083767,chr12,115832392,115832847,-,,Ighv1-78
ENSMUSG00000053961.9,8.82281411108338,1.79467510289233,0.421383178263932,4.25900984060696,2.05334431815978e-05,0.0057141951083767,chr14,44194525,44200537,+,,Ang5
ENSMUSG00000056755.14,126.316319659351,-1.35324599415011,0.319557079251605,-4.23475517212569,2.28800844734331e-05,0.0063002118920056,chr6,110622541,111544191,+,,Grm7
ENSMUSG00000024526.10,15.2070201393187,-1.57023533910449,0.371077880619235,-4.23155197632413,2.32084347144641e-05,0.0063240567051631,chr18,67476673,67500855,+,,Cidea
ENSMUSG00000004038.10,540.063867977876,1.02104885550107,0.242378773922007,4.21261663708895,2.52429290634759e-05,0.0068075235192934,chr3,107871011,107876599,-,,Gstm3
ENSMUSG00000053825.16,104.221515717545,-1.06899742686983,0.2547387856665,-4.19644548462811,2.71136686713428e-05,0.0070926645877365,chr10,106306199,106771813,+,,Ppfia2
ENSMUSG00000071478.7,54.3926489422017,1.42173298587695,0.338635086073803,4.19842197204306,2.68781434052243e-05,0.0070926645877365,chr13,23758554,23759126,+,,H2ac7
ENSMUSG00000033576.13,474.20467681101,-1.17856408442216,0.28165600271392,-4.18440960982904,2.85908180262354e-05,0.0074050218687949,chr15,76928928,76941306,+,,Apol6
ENSMUSG00000094989.2,35.9465936957308,1.16374644367827,0.278401247153528,4.18010499441659,2.91374532242786e-05,0.0074726141068029,chr13,72602880,72603459,-,,Rpl9-ps4
ENSMUSG00000066361.4,27.9773744173593,-1.73016948288098,0.414603502934895,-4.17307010344452,3.00522423079238e-05,0.0076323942381842,chr12,104112640,104120129,-,,Serpina3c
ENSMUSG00000021314.14,282.088542249406,-1.30212661474554,0.312237410327997,-4.1703094237737,3.04186342275892e-05,0.0076511639688414,chr13,19132374,19335091,+,,Amph
ENSMUSG00000000632.14,63.5132015887147,-1.44118915490135,0.346468697714772,-4.15965183696854,3.18733077306517e-05,0.0077172037417791,chr11,77821625,77869874,+,,Sez6
ENSMUSG00000052565.8,2061.80478792329,1.11364648252277,0.268132555272407,4.1533430410618,3.27652982933593e-05,0.0077172037417791,chr13,23737435,23744860,+,,H1f3
ENSMUSG00000022053.14,34.1329702207981,-1.43507278682259,0.345682045359202,-4.15142413697359,3.30412790656853e-05,0.0077172037417791,chr14,67470740,67668367,+,,Ebf2
ENSMUSG00000032735.16,189.443946020349,-1.00685471308887,0.242189611000782,-4.15729935288437,3.22031897760808e-05,0.0077172037417791,chr18,61932462,62044895,-,,Ablim3
ENSMUSG00000031373.5,153.107878590166,-1.47436315426165,0.355053095879859,-4.15251457139959,3.28841808128879e-05,0.0077172037417791,chrX,162759817,162810993,-,,Car5b
ENSMUSG00000018983.10,862.211241341415,1.26645325533812,0.305300240229017,4.14822226929172,3.35067008771655e-05,0.0077566529933254,chr4,135899704,135923368,+,,E2f2
ENSMUSG00000032311.18,63.5664997305869,-1.19775715421304,0.289283914373738,-4.14042086234218,3.46669194595251e-05,0.007954841632822,chr9,55127505,55234128,-,,Nrg4
ENSMUSG00000069306.6,232.09911145484,1.48426863494301,0.359099400709555,4.13330858255457,3.57578116232742e-05,0.0081338138630715,chr13,21995915,21996317,+,,H4c17
ENSMUSG00000038916.8,57.8274563297158,-1.34394121914541,0.325781822357584,-4.12527994784888,3.7028407469411e-05,0.0081397152184228,chr10,29019834,29075626,+,,Mtcl3
ENSMUSG00000076655.3,33.6883770757486,1.73680401103942,0.420986254503015,4.12555990240052,3.69833901868131e-05,0.0081397152184228,chr12,113911901,113912416,-,,Ighv4-1
ENSMUSG00000038725.14,402.586195912091,-1.28148382903616,0.310324584110618,-4.12949503407491,3.63560854818087e-05,0.0081397152184228,chr15,44320889,44464765,+,,Pkhd1l1
ENSMUSG00000086938.12,216.706524425974,-1.22967771521538,0.297954159242573,-4.12707014508989,3.6741434825889e-05,0.0081397152184228,chr19,5456763,5472880,+,,4930481A15Rik
ENSMUSG00000024109.19,250.673976974309,-1.10758459251615,0.268736748652405,-4.12144821305682,3.76498111833689e-05,0.0082073450895478,chr17,90341058,91400499,-,,Nrxn1
ENSMUSG00000031425.16,303.199658957201,-1.1184519551941,0.271668941657526,-4.11696658576471,3.83891704712824e-05,0.0082993579368452,chrX,135723419,135740482,+,,Plp1
ENSMUSG00000038550.11,126.941135892206,-1.65959240341696,0.404017057537656,-4.1077285536695,3.99569309020368e-05,0.0085674865202162,chr3,95785814,95789563,-,,Ciart
ENSMUSG00000131459.1,19.36197625968,1.29358599591254,0.315392926451042,4.10150604983002,4.10469773075051e-05,0.008729657555992,chr10,89714111,89714463,+,,ENSMUSG00000131459
ENSMUSG00000042529.15,38.7558353513921,-1.40686910706748,0.343177708847479,-4.09953522853299,4.1398065469753e-05,0.0087333225372844,chr11,60913389,60961957,+,,Kcnj12
ENSMUSG00000041014.18,28.1119983071842,-1.28308156153527,0.313578356827856,-4.09174145344362,4.28145845204699e-05,0.0089598937317677,chr14,38090908,39195045,-,,Nrg3
ENSMUSG00000046709.20,148.020578295702,-1.18212196166779,0.289273583448979,-4.0865188849029,4.37893858053849e-05,0.009091163041929,chr5,103055813,103359200,-,,Mapk10
ENSMUSG00000048388.4,248.815406525897,-1.15083461041733,0.282355079010906,-4.07584171833819,4.58481985115528e-05,0.0094436458650685,chr2,83642979,83713830,+,,Fam171b
