GeneID,Base mean,log2(FC),StdErr,Wald-Stats,P-value,P-adj,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Strand,Gene name
ENSMUSG00000032010,1138.50278799582,1.39432080598803,0.162486864639419,8.58112936748592,9.39461518493638e-18,2.08137699422266e-13,9,43978318,44006924,1,Usp2
ENSMUSG00000026077,603.706120339642,-1.3963659013245,0.168024255536124,-8.31050193836032,9.52981083140106e-17,1.05566479484845e-12,1,39232812,39402317,1,Npas2
ENSMUSG00000022389,5527.31747409016,1.36813903245811,0.179107180865836,7.6386609729676,2.19492415800567e-14,9.725708944123108e-11,15,81686622,81711064,1,Tef
ENSMUSG00000029641,60.6521828347183,-1.32628870752349,0.187105110556208,-7.08846863445273,1.3560410513092798e-12,2.8886833746481e-09,5,146781881,146784537,1,Rasl11a
ENSMUSG00000030256,220.997707002711,1.36065876442511,0.193394451581639,7.03566598367858,1.98311484164677e-12,3.66132577639035e-09,6,145803969,145811284,-1,Bhlhe41
ENSMUSG00000028068,785.094190242662,-1.35662572443729,0.197704139190555,-6.86189844072875,6.79513684770046e-12,1.0753304061486e-08,3,87989278,88028355,1,Iqgap3
ENSMUSG00000038550,524.653802137923,1.76916060843667,0.260187190942967,6.79956842619691,1.04933016772138e-11,1.54986065772448e-08,3,95785815,95789563,-1,Ciart
ENSMUSG00000110496,41.0558669008125,1.85368261116441,0.281024564822311,6.59615863949996,4.2194742792580096e-11,5.49896780335065e-08,8,93916956,93917986,-1,Gm45909
ENSMUSG00000030717,907.448166250972,-1.03905576322606,0.158016196252727,-6.57562824486814,4.84481644740925e-11,5.96316157735289e-08,7,126222421,126230033,-1,Nupr1
ENSMUSG00000003949,663.519449215656,1.39934929236239,0.215220105852658,6.50194500564182,7.928808860179778e-11,9.2454084366991e-08,11,90227362,90281721,-1,Hlf
ENSMUSG00000030677,371.470871312819,-1.14446695584512,0.178511386594246,-6.41117061314684,1.4440647685442e-10,1.59966274735484e-07,7,126626901,126641643,-1,Kif22
ENSMUSG00000037544,411.447375992257,-1.01999315118681,0.165523558556917,-6.16222343260022,7.17305411244272e-10,6.62162557754869e-07,14,47625236,47655864,-1,Dlgap5
ENSMUSG00000001517,524.353729322765,-1.15855209409152,0.189657430791571,-6.10865648267027,1.0047331915977102e-09,8.90394554393892e-07,6,128339930,128353109,1,Foxm1
ENSMUSG00000020897,399.865901345936,-1.06167941871076,0.179354383071905,-5.91945064584859,3.23018752793392e-09,2.75249248774523e-06,11,68936473,68942490,1,Aurkb
ENSMUSG00000021485,88.4987899729355,-1.12818849736688,0.191216087090494,-5.90007103760557,3.6334509871885e-09,2.93539725661681e-06,13,55472981,55477636,-1,Mxd3
ENSMUSG00000059824,2386.57866550246,1.40210321392191,0.237780102721373,5.89663810333565,3.70982275717765e-09,2.93539725661681e-06,7,45354512,45359627,1,Dbp
ENSMUSG00000028678,319.92164890933,-1.08025134992871,0.184075603906953,-5.86851992877211,4.397025556507729e-09,3.35917590360099e-06,4,117016836,117039836,-1,Kif2c
ENSMUSG00000055116,958.465978505448,-1.09221712016868,0.190553409094122,-5.73181621552199,9.936090077836873e-09,7.33780252248253e-06,7,112806672,112913333,1,Bmal1
ENSMUSG00000048327,436.72933732703,-1.02264880933374,0.179955309555562,-5.68279319937484,1.32512465803935e-08,9.47036670931028e-06,2,129110130,129139132,-1,Ckap2l
ENSMUSG00000028957,3010.61800607103,1.22106270945681,0.217064785299558,5.6253376510229,1.85145463563271e-08,1.24299931674069e-05,4,151088109,151129122,-1,Per3
ENSMUSG00000058290,475.657957598602,-1.1137963535123,0.197896957946199,-5.62816308583736,1.8213884239783e-08,1.24299931674069e-05,15,102204701,102232792,1,Espl1
ENSMUSG00000036223,54.0175406115984,-1.053852822191,0.188304334894802,-5.59654042366975,2.18671353654843e-08,1.38418966863516e-05,18,74328370,74340889,-1,Ska1
ENSMUSG00000051378,277.446205310218,-1.15637834641641,0.208551538058055,-5.5448085263917,2.94276016641022e-08,1.76207706721131e-05,11,102796355,102815950,-1,Kif18b
ENSMUSG00000055926,32.2980449794299,-1.50295670599631,0.27103971346049,-5.5451530951216,2.9369708064659e-08,1.76207706721131e-05,2,119004990,119008056,1,Gm14137
ENSMUSG00000056749,146.917690271023,-1.24003245242252,0.227577853073966,-5.44882744815901,5.07029736921456e-08,2.95611679513023e-05,13,53121245,53135109,-1,Nfil3
ENSMUSG00000048922,425.009246731351,-1.00446301897416,0.18615464194314,-5.39585265502523,6.81988977021408e-08,3.68523555753885e-05,14,67913780,67953290,-1,Cdca2
ENSMUSG00000039814,38.7399813444157,-1.16258241597539,0.2156439538268,-5.39121266951517,6.9983790502664e-08,3.69164494901553e-05,8,18982745,19000991,-1,Xkr5
ENSMUSG00000002055,535.065152448894,-1.02811358266661,0.192324876307532,-5.34571295406752,9.00618401704889e-08,4.44676103045077e-05,11,78192355,78213283,1,Spag5
ENSMUSG00000094248,359.035372159957,-1.33251438799036,0.249657896927925,-5.33736126270042,9.43090147486017e-08,4.53139362029026e-05,13,21994635,21995114,1,H2ac23
ENSMUSG00000024803,15.6540482042585,-1.34343536755862,0.252344778423417,-5.32380886163781,1.01616682522333e-07,4.69024500267143e-05,19,36089361,36097499,-1,Ankrd1
ENSMUSG00000065952,42.1227440541411,-1.04482424895565,0.197117009669545,-5.30052810108695,1.15468190547889e-07,5.22081175834383e-05,8,3617990,3634939,1,Rps23rg1
ENSMUSG00000006403,129.280146382903,-1.47574429073117,0.281818202689558,-5.23651161155405,1.63639951657759e-07,6.97200601726471e-05,1,171077990,171088206,1,Adamts4
ENSMUSG00000035486,8.1497251058896,1.45145055239657,0.278188591262367,5.21750567056025,1.81348673588086e-07,7.58071672329065e-05,10,80192293,80201323,1,Plk5
ENSMUSG00000022033,405.774321725585,-1.02541101558124,0.201653679017779,-5.08501020450429,3.676063041828e-07,0.0001357386278194,14,66043286,66055271,1,Pbk
ENSMUSG00000030867,406.910681913536,-1.07799543053087,0.212605260081177,-5.0704080892414,3.96963587859388e-07,0.0001430948768934,7,121758662,121769096,1,Plk1
ENSMUSG00000061991,45.2061527083888,-1.38494335225106,0.273231971990136,-5.06874558699542,4.00446055851749e-07,0.0001430948768934,13,23718076,23718474,1,H2ac10
ENSMUSG00000055866,3712.08546469804,1.1601437460614,0.229263129789952,5.06031539883586,4.18563527016151e-07,0.000147194840334,1,91343704,91387046,-1,Per2
ENSMUSG00000079553,338.431849700809,-1.10459259102705,0.236018015790642,-4.68011980918806,2.86707321248407e-06,0.0007653012894287,17,34094633,34109635,-1,Kifc1
ENSMUSG00000008129,50.4416014887234,1.03745499655584,0.221856762200255,4.67623788550292,2.92185646197421e-06,0.0007706396418456,8,84874654,84899219,1,Brme1
ENSMUSG00000041064,136.301807711158,-1.01344364818571,0.218369912421095,-4.64094909847943,3.46812556068023e-06,0.0008934456022891,9,65494442,65503249,1,Pif1
ENSMUSG00000048905,2342.29701595873,-1.01169356958306,0.221873104577989,-4.55978461881323,5.12061121992258e-06,0.0012370827315229,17,29115366,29134298,-1,Bnip5
ENSMUSG00000057074,732.177339533381,1.00802663153017,0.221539101201014,4.55010707394507,5.3618624098048e-06,0.0012637453371194,8,94028997,94063936,-1,Ces1g
ENSMUSG00000074183,306.520306657704,1.04625012036293,0.232053992002648,4.50864952304284,6.52415813367376e-06,0.0014454272345154,9,78137938,78149966,1,Gsta1
ENSMUSG00000087330,8.12877152563066,-1.24700259385253,0.278728116517078,-4.47390313340034,7.68045465380283e-06,0.001668239929951,11,102261123,102272665,-1,Bloodlinc
ENSMUSG00000039323,369.472650756605,-1.00119673118165,0.231128948277131,-4.33176691472322,1.47917487324127e-05,0.0030343628996907,1,72863662,72891633,1,Igfbp2
ENSMUSG00000062563,203.9194616424,1.0259759333486,0.240910712818406,4.25873935345485,2.05583012444885e-05,0.0040666889649253,12,24715832,24731812,-1,Cys1
ENSMUSG00000025511,252.831728821021,1.01013594618235,0.25247880131887,4.00087429481492,6.31088782691571e-05,0.0097774629234487,7,141055153,141073340,1,Tspan4
ENSMUSG00000037379,430.138263927318,-1.00069212534887,0.254098269879637,-3.93820912603178,8.20920323354335e-05,0.0122888444350779,5,33355528,33375799,-1,Spon2
ENSMUSG00000026691,8.15087006827576,1.12734399844972,0.287134017213177,3.92619449757758,8.63003809175705e-05,0.0127465662615252,1,162781369,162812097,-1,Fmo3
ENSMUSG00000081058,524.37989476214,-1.04632224264888,0.281835070906189,-3.71253385636012,0.0002051946016588,0.025256035554174,3,96145424,96146443,-1,H3c15
ENSMUSG00000093916,30.0845764534192,-1.00337362515307,0.273386941318763,-3.6701592999029,0.0002423993582412,0.0290164638800648,X,107588109,107708677,-1,Gm379
ENSMUSG00000095771,397.338739033883,1.05223233190692,0.288465787870528,3.64768501552494,0.00026461375704,0.0307009397908305,6,68233373,68233853,1,Igkv14-111
ENSMUSG00000093896,481.201776203817,1.01534044872186,0.280764389865732,3.61634340169499,0.0002987939376765,0.0337679913727117,12,115811501,115811951,-1,Ighv1-76
