GeneID,Base mean,log2(FC),StdErr,Wald-Stats,P-value,P-adj,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Strand,Gene name,Gene description
ENSMUSG00000026077,61066.5426439529,1.38578265113227,0.160026677473362,8.65969770173443,4.73016989639369e-18,9.669886319197613e-14,1,39232812,39402317,1,Npas2,neuronal PAS domain protein 2 [Source:MGI Symbol;Acc:MGI:109232]
ENSMUSG00000032010,114952.378808616,-1.32468787844803,0.164609107517656,-8.04747622063344,8.45187858194489e-16,8.63908769253497e-12,9,43978318,44006924,1,Usp2,ubiquitin specific peptidase 2 [Source:MGI Symbol;Acc:MGI:1858178]
ENSMUSG00000022389,556982.575000147,-1.30392855951374,0.17438491828616,-7.47730120430508,7.58644021696293e-14,5.169653245179111e-10,15,81686622,81711064,1,Tef,thyrotroph embryonic factor [Source:MGI Symbol;Acc:MGI:98663]
ENSMUSG00000038550,52682.2283511871,-1.65920784418437,0.23746989378237,-6.98702398757527,2.80778250853646e-12,1.14798995644022e-08,3,95785815,95789563,-1,Ciart,circadian associated repressor of transcription [Source:MGI Symbol;Acc:MGI:2684975]
ENSMUSG00000110496,4068.97402113635,-1.75347669916842,0.2508593732151,-6.98987913704503,2.75123152537265e-12,1.14798995644022e-08,8,93916956,93917986,-1,Gm45909,predicted gene 45909 [Source:MGI Symbol;Acc:MGI:5805024]
ENSMUSG00000028068,80011.0172992955,1.30769193486841,0.19454883740023,6.72166409392723,1.79660751672534e-11,6.12134124406937e-08,3,87989278,88028355,1,Iqgap3,IQ motif containing GTPase activating protein 3 [Source:MGI Symbol;Acc:MGI:3028642]
ENSMUSG00000030256,22265.3975929371,-1.2769693538971,0.190904408069584,-6.68905116864379,2.24622188810714e-11,6.55993057979634e-08,6,145803969,145811284,-1,Bhlhe41,"basic helix-loop-helix family, member e41 [Source:MGI Symbol;Acc:MGI:1930704]"
ENSMUSG00000029641,6180.88717254018,1.28094388735301,0.19207104049593,6.66911515679612,2.57350269318983e-11,6.57626444460996e-08,5,146781881,146784537,1,Rasl11a,"RAS-like, family 11, member A [Source:MGI Symbol;Acc:MGI:1916145]"
ENSMUSG00000030717,92028.8692961477,1.02535801904907,0.158100077157404,6.48549980167452,8.84381162167915e-11,2.00882267757763e-07,7,126222421,126230033,-1,Nupr1,nuclear protein transcription regulator 1 [Source:MGI Symbol;Acc:MGI:1891834]
ENSMUSG00000003949,66954.2635582071,-1.30964710821272,0.205911572069654,-6.360240442289,2.01438176318448e-10,4.11800063847804e-07,11,90227362,90281721,-1,Hlf,hepatic leukemia factor [Source:MGI Symbol;Acc:MGI:96108]
ENSMUSG00000034023,27850.8914245467,0.915943036513541,0.148667405088329,6.16102121355615,7.227730723370811e-10,1.34324090161699e-06,6,113508643,113573978,1,Fancd2,"Fanconi anemia, complementation group D2 [Source:MGI Symbol;Acc:MGI:2448480]"
ENSMUSG00000030677,37811.448974526,1.10985311666034,0.180944543287951,6.13366447251268,8.58775447571374e-10,1.46299553955847e-06,7,126626901,126641643,-1,Kif22,kinesin family member 22 [Source:MGI Symbol;Acc:MGI:109233]
ENSMUSG00000001517,53389.5974542968,1.12454347478687,0.187249776190811,6.00557980716057,1.9064935712441103e-09,2.85133638734619e-06,6,128339930,128353109,1,Foxm1,forkhead box M1 [Source:MGI Symbol;Acc:MGI:1347487]
ENSMUSG00000055116,96920.1194139884,1.08026405654251,0.179993164076036,6.00169490929204,1.95268353093219e-09,2.85133638734619e-06,7,112806672,112913333,1,Bmal1,basic helix-loop-helix ARNT like 1 [Source:MGI Symbol;Acc:MGI:1096381]
ENSMUSG00000059824,240907.086435132,-1.31942335885417,0.221166701133063,-5.96574146150669,2.4352562337119503e-09,3.31892954571823e-06,7,45354512,45359627,1,Dbp,D site albumin promoter binding protein [Source:MGI Symbol;Acc:MGI:94866]
ENSMUSG00000037544,41807.6040862062,0.998142774972701,0.168150052854327,5.93602415241237,2.92016801082965e-09,3.73106216533691e-06,14,47625236,47655864,-1,Dlgap5,DLG associated protein 5 [Source:MGI Symbol;Acc:MGI:2183453]
ENSMUSG00000042487,68215.1441689233,0.730195958109726,0.12497407386454,5.84277951042219,5.1336947390737e-09,6.17341891475786e-06,9,75348806,75373714,1,Leo1,"Leo1, Paf1/RNA polymerase II complex component [Source:MGI Symbol;Acc:MGI:2685031]"
ENSMUSG00000028957,301973.881000548,-1.16962447378218,0.200582632774739,-5.83113531616519,5.50515173177631e-09,6.2523231584835e-06,4,151088109,151129122,-1,Per3,period circadian clock 3 [Source:MGI Symbol;Acc:MGI:1277134]
ENSMUSG00000024660,87419.1790424206,0.845946662645761,0.146049820664378,5.79217871543808,6.947915121694451e-09,7.10181144163998e-06,19,9849660,9876915,-1,Incenp,inner centromere protein [Source:MGI Symbol;Acc:MGI:1313288]
ENSMUSG00000055926,3245.70295744276,1.42254021716644,0.245408656827817,5.79661791704653,6.766561316088e-09,7.10181144163998e-06,2,119004990,119008056,1,Gm14137,predicted gene 14137 [Source:MGI Symbol;Acc:MGI:3651144]
ENSMUSG00000020897,40737.5790201718,1.0322251179856,0.18158764862846,5.68444564254258,1.31237654846235e-08,1.27756732286742e-05,11,68936473,68942490,1,Aurkb,aurora kinase B [Source:MGI Symbol;Acc:MGI:107168]
ENSMUSG00000028678,32626.710235239,1.04365251708618,0.18669684481584,5.59009188460391,2.26949487607976e-08,2.10887653416812e-05,4,117016836,117039836,-1,Kif2c,kinesin family member 2C [Source:MGI Symbol;Acc:MGI:1921054]
ENSMUSG00000048327,44469.9912734521,0.996967299811308,0.18080240110805,5.51412643693545,3.50516554193366e-08,3.11548257277173e-05,2,129110130,129139132,-1,Ckap2l,cytoskeleton associated protein 2-like [Source:MGI Symbol;Acc:MGI:1917716]
ENSMUSG00000058290,48437.3058393616,1.07314051339427,0.196074479373683,5.47312693024703,4.4216316706713e-08,3.76630901014722e-05,15,102204701,102232792,1,Espl1,"extra spindle pole bodies 1, separase [Source:MGI Symbol;Acc:MGI:2146156]"
ENSMUSG00000056749,14910.1707540618,1.18728557558807,0.217300744025197,5.46378973948839,4.66075550139148e-08,3.81119298859784e-05,13,53121245,53135109,-1,Nfil3,"nuclear factor, interleukin 3, regulated [Source:MGI Symbol;Acc:MGI:109495]"
ENSMUSG00000021485,9001.96086293327,1.07207757084403,0.197138227867284,5.43820233367302,5.38208346857882e-08,4.23176662877526e-05,13,55472981,55477636,-1,Mxd3,Max dimerization protein 3 [Source:MGI Symbol;Acc:MGI:104987]
ENSMUSG00000006403,13215.3113075933,1.37188889008152,0.252627536079956,5.43048042730908,5.62025435586759e-08,4.25536517766671e-05,1,171077990,171088206,1,Adamts4,ADAM metallopeptidase with thrombospondin type 1 motif 4 [Source:MGI Symbol;Acc:MGI:1339949]
ENSMUSG00000002055,54272.5729236535,1.00770093300785,0.186103384824585,5.4147372652984,6.137876470463e-08,4.48130745305982e-05,11,78192355,78213283,1,Spag5,sperm associated antigen 5 [Source:MGI Symbol;Acc:MGI:1927470]
ENSMUSG00000021509,3378.5259915264,0.957182669634204,0.177411780648366,5.39525992093706,6.84244273596002e-08,4.82345023624934e-05,13,56586168,56622052,1,Slc25a48,"solute carrier family 25, member 48 [Source:MGI Symbol;Acc:MGI:2145373]"
ENSMUSG00000048922,43162.7360330566,0.977457481810865,0.183829138539129,5.31720645365918,1.05372486477003e-07,7.1804324701646e-05,14,67913780,67953290,-1,Cdca2,cell division cycle associated 2 [Source:MGI Symbol;Acc:MGI:1919787]
ENSMUSG00000041498,40435.8272475422,0.962699158733293,0.181321991999084,5.30933478128872,1.10026070688021e-07,7.25568697766197e-05,1,136394081,136459249,1,Kif14,kinesin family member 14 [Source:MGI Symbol;Acc:MGI:1098226]
ENSMUSG00000051378,28288.5652476129,1.09725223836712,0.207295567558094,5.29317752083443,1.20209126253129e-07,7.67948489997723e-05,11,102796355,102815950,-1,Kif18b,kinesin family member 18B [Source:MGI Symbol;Acc:MGI:2446979]
ENSMUSG00000036223,5481.61417014397,1.00282524811694,0.191461189595715,5.23774687828109,1.62548786102559e-07,9.77348480674888e-05,18,74328370,74340889,-1,Ska1,spindle and kinetochore associated complex subunit 1 [Source:MGI Symbol;Acc:MGI:1913718]
ENSMUSG00000055866,373448.911270399,-1.10926784387174,0.211704775391483,-5.23969212229857,1.60844715601604e-07,9.77348480674888e-05,1,91343704,91387046,-1,Per2,period circadian clock 2 [Source:MGI Symbol;Acc:MGI:1195265]
ENSMUSG00000094248,36807.905735468,1.23309169689177,0.235746150317557,5.23059102017471,1.68968955905167e-07,9.86923533019811e-05,13,21994635,21995114,1,H2ac23,H2A clustered histone 23 [Source:MGI Symbol;Acc:MGI:2448302]
ENSMUSG00000036777,84173.1068857799,0.94557083677515,0.181052676846133,5.22262831594994,1.76401238976134e-07,0.0001001714035663,9,22243308,22300484,-1,Anln,"anillin, actin binding protein [Source:MGI Symbol;Acc:MGI:1920174]"
ENSMUSG00000068742,163723.886670898,-0.728365882150155,0.139705758178509,-5.21357094830326,1.85239635774523e-07,0.0001023474020037,2,92233991,92264388,-1,Cry2,cryptochrome circadian regulator 2 [Source:MGI Symbol;Acc:MGI:1270859]
ENSMUSG00000026622,54515.9841141324,0.950966097882493,0.185496525562014,5.12659789719118,2.95024681754969e-07,0.0001587155149767,1,191553556,191565162,1,Nek2,NIMA (never in mitosis gene a)-related expressed kinase 2 [Source:MGI Symbol;Acc:MGI:109359]
ENSMUSG00000022033,41246.6249130288,0.99926411079172,0.195531169235225,5.11051058867038,3.21289302789781e-07,0.0001684132619726,14,66043286,66055271,1,Pbk,PDZ binding kinase [Source:MGI Symbol;Acc:MGI:1289156]
ENSMUSG00000023505,64712.9998165559,0.899681886760394,0.178723520150277,5.03393110209506,4.80522435768488e-07,0.0002455830038603,6,124806510,124810664,1,Cdca3,cell division cycle associated 3 [Source:MGI Symbol;Acc:MGI:1315198]
ENSMUSG00000030867,41592.3203804747,1.03380512221583,0.207384624876058,4.98496512378234,6.19729905313579e-07,0.0003090033769347,7,121758662,121769096,1,Plk1,polo like kinase 1 [Source:MGI Symbol;Acc:MGI:97621]
ENSMUSG00000065952,4332.09634565934,0.980502970301172,0.196918169440083,4.97924073278323,6.38342027592594e-07,0.0003107053826208,8,3617990,3634939,1,Rps23rg1,"ribosomal protein S23, retrogene 1 [Source:MGI Symbol;Acc:MGI:3612471]"
ENSMUSG00000017716,44249.2399543565,0.874825767965778,0.176172336855303,4.96573856929821,6.84401004753448e-07,0.0003253769707017,11,117740077,117746569,1,Birc5,baculoviral IAP repeat-containing 5 [Source:MGI Symbol;Acc:MGI:1203517]
ENSMUSG00000001334,17489.3672123662,0.938654676795884,0.189409830320044,4.95568089158755,7.20774286583981e-07,0.0003348815622871,4,129030477,129038386,1,Fndc5,fibronectin type III domain containing 5 [Source:MGI Symbol;Acc:MGI:1917614]
ENSMUSG00000034579,13589.1647112607,0.942009340150185,0.190278314074569,4.95069206773093,7.39500337305131e-07,0.0003359467865673,11,3438284,3449350,1,Pla2g3,"phospholipase A2, group III [Source:MGI Symbol;Acc:MGI:2444945]"
ENSMUSG00000034906,46855.0605249811,0.854055583602789,0.173318490781098,4.92766570810651,8.32178380245106e-07,0.0003698309266815,2,126945729,126975874,-1,Ncaph,"non-SMC condensin I complex, subunit H [Source:MGI Symbol;Acc:MGI:2444777]"
ENSMUSG00000003779,69158.3010259712,0.945428118547464,0.192304945992719,4.91629642527894,8.81968208548454e-07,0.0003836186401565,18,34757666,34766330,1,Kif20a,kinesin family member 20A [Source:MGI Symbol;Acc:MGI:1201682]
ENSMUSG00000021775,597787.781162378,-0.904100208937111,0.184278797785043,-4.9061542608484,9.28794861116937e-07,0.0003955698613711,14,4230569,4265642,1,Nr1d2,"nuclear receptor subfamily 1, group D, member 2 [Source:MGI Symbol;Acc:MGI:2449205]"
ENSMUSG00000023015,88014.8040771847,0.873893983393975,0.178997242273879,4.88216450875176,1.04927660357857e-06,0.0004348113502833,15,99518377,99549537,-1,Racgap1,Rac GTPase-activating protein 1 [Source:MGI Symbol;Acc:MGI:1349423]
ENSMUSG00000026955,11990.4121146689,0.956774625584653,0.19607987723957,4.87951460932254,1.06347246070388e-06,0.0004348113502833,2,25262333,25268225,1,Sapcd2,suppressor APC domain containing 2 [Source:MGI Symbol;Acc:MGI:1919330]
ENSMUSG00000062510,15681.0879442784,0.775403000805748,0.159230623261105,4.86968514551531,1.11776209111278e-06,0.0004480472633062,1,190795209,190818671,1,Nsl1,"NSL1, MIS12 kinetochore complex component [Source:MGI Symbol;Acc:MGI:2685830]"
ENSMUSG00000020185,13931.6192654319,0.857187110957958,0.176585497232619,4.85423279029972,1.20853703995054e-06,0.000475117744379,10,110581300,110623245,1,E2f7,E2F transcription factor 7 [Source:MGI Symbol;Acc:MGI:1289147]
ENSMUSG00000117485,13164.1182831482,0.922308519254054,0.190423044640459,4.84347113026935,1.27590267259968e-06,0.0004921373270934,17,84441432,84465552,-1,Gm19696,"predicted gene, 19696 [Source:MGI Symbol;Acc:MGI:5011881]"
ENSMUSG00000048905,236291.321517512,0.989289710519487,0.20506431591461,4.8242899117145,1.40502925806489e-06,0.0005319076504188,17,29115366,29134298,-1,Bnip5,BCL2 interacting protein 5 [Source:MGI Symbol;Acc:MGI:1925441]
ENSMUSG00000074476,30413.9233685446,0.812953833186203,0.169804903760162,4.78757571297496,1.68808060878039e-06,0.0006274442160963,9,21666738,21671599,-1,Spc24,"SPC24, NDC80 kinetochore complex component, homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914879]"
ENSMUSG00000039396,26455.8082986823,0.949268245614466,0.200365080371237,4.73769303441328,2.16164915478753e-06,0.0007891177441307,8,54039902,54092100,-1,Neil3,nei like 3 (E. coli) [Source:MGI Symbol;Acc:MGI:2384588]
ENSMUSG00000032586,12909.6394765047,0.880532892778987,0.186440676867404,4.72285827091918,2.32552918486311e-06,0.0008340490022132,9,107827335,107849469,1,Traip,TRAF-interacting protein [Source:MGI Symbol;Acc:MGI:1096377]
ENSMUSG00000018983,36275.9369688152,0.932376982539348,0.198136485137039,4.7057309101576,2.52958000827774e-06,0.0008913460701757,4,135899705,135923368,1,E2f2,E2F transcription factor 2 [Source:MGI Symbol;Acc:MGI:1096341]
ENSMUSG00000036768,69668.9995662728,0.849067831030381,0.180564425716715,4.70229851566926,2.57249024802468e-06,0.0008913460701757,9,122780111,122847798,1,Kif15,kinesin family member 15 [Source:MGI Symbol;Acc:MGI:1098258]
ENSMUSG00000028873,33043.1598893688,0.843879129832877,0.180888400573808,4.66519205850654,3.08328919760588e-06,0.0010505280177776,4,124812258,124833104,-1,Cdca8,cell division cycle associated 8 [Source:MGI Symbol;Acc:MGI:1196274]
ENSMUSG00000040084,88467.1823434426,0.818430197270825,0.175748512514839,4.65682574241829,3.21122023110013e-06,0.0010761799210554,2,118428692,118472072,1,Bub1b,"BUB1B, mitotic checkpoint serine/threonine kinase [Source:MGI Symbol;Acc:MGI:1333889]"
ENSMUSG00000034311,65866.0282214636,0.888414787666719,0.192788456452568,4.60823642667266,4.06098741752016e-06,0.0013390123512316,X,99669343,99770820,1,Kif4,kinesin family member 4 [Source:MGI Symbol;Acc:MGI:108389]
ENSMUSG00000012443,146008.216486915,0.850093451827753,0.18533197424383,4.58686880823562,4.49943218483833e-06,0.0014151060331484,19,37364851,37410307,1,Kif11,kinesin family member 11 [Source:MGI Symbol;Acc:MGI:1098231]
ENSMUSG00000028885,19644.0326988399,-0.745974452303602,0.16259785198563,-4.58784936697398,4.47835575007682e-06,0.0014151060331484,4,132460277,132484563,-1,Smpdl3b,"sphingomyelin phosphodiesterase, acid-like 3B [Source:MGI Symbol;Acc:MGI:1916022]"
ENSMUSG00000041064,13825.426219954,0.967395597967863,0.210642795897566,4.5925881008449,4.37782597475875e-06,0.0014151060331484,9,65494442,65503249,1,Pif1,PIF1 5'-to-3' DNA helicase [Source:MGI Symbol;Acc:MGI:2143057]
ENSMUSG00000079553,34568.0532301706,1.03334801399738,0.226012241312869,4.57208869747418,4.8288643850321e-06,0.0014957041609577,17,34094633,34109635,-1,Kifc1,kinesin family member C1 [Source:MGI Symbol;Acc:MGI:109596]
ENSMUSG00000038943,101527.486658524,0.824368285675405,0.180648043684152,4.56339448168476,5.03331124865014e-06,0.0015357609232261,7,79944198,79966007,1,Prc1,protein regulator of cytokinesis 1 [Source:MGI Symbol;Acc:MGI:1858961]
ENSMUSG00000027496,34034.169413161,0.905239551190356,0.199445998817629,4.53877017617233,5.65832645000889e-06,0.0017010759943754,2,172198110,172212455,-1,Aurka,aurora kinase A [Source:MGI Symbol;Acc:MGI:894678]
ENSMUSG00000037313,53441.2276708257,0.701342237597651,0.154890963203958,4.52797389266754,5.95519371254673e-06,0.0017643771748636,5,33815472,33836339,1,Tacc3,"transforming, acidic coiled-coil containing protein 3 [Source:MGI Symbol;Acc:MGI:1341163]"
ENSMUSG00000072082,43437.3695576838,0.880374024073526,0.195111542153072,4.51215758103558,6.4171482041983e-06,0.0018740822962632,17,24441172,24470458,-1,Ccnf,cyclin F [Source:MGI Symbol;Acc:MGI:102551]
ENSMUSG00000074183,30917.9987250308,-0.978213575902723,0.217098349972434,-4.5058544941817,6.6106376508781e-06,0.0019033981055901,9,78137938,78149966,1,Gsta1,"glutathione S-transferase, alpha 1 (Ya) [Source:MGI Symbol;Acc:MGI:1095417]"
ENSMUSG00000057074,73865.6914334131,-0.940981541367504,0.209598165504605,-4.48945504414174,7.14056147031414e-06,0.0020274235852448,8,94028997,94063936,-1,Ces1g,carboxylesterase 1G [Source:MGI Symbol;Acc:MGI:88378]
