GeneID,Base mean,log2(FC),StdErr,Wald-Stats,P-value,P-adj,Chromosome,Start,End,Strand,Feature,Gene name
ENSMUSG00000102496.2,199.317928101585,-1.85312179598892,0.24350498734116,-7.61020058037917,2.73670868411416e-14,6.5757636261895e-10,chr18,35707959,35710119,+,,Gm36989
ENSMUSG00000023243.10,3139.26677900076,1.00939512070003,0.157166898113611,6.422440938997,1.34106288732172e-10,1.61115295282831e-06,chr14,20190124,20231877,-,,Kcnk5
ENSMUSG00000091509.8,232.050625392087,-1.22181532537625,0.198383042551115,-6.15886977870822,7.32659395888093e-10,5.86811332146637e-06,chr14,105346825,105352112,-,,Gm17066
ENSMUSG00000030472.10,351.81241023306,1.15703359561831,0.193823113923061,5.96953362372253,2.37932725404705e-09,1.42926188150606e-05,chr7,43284130,43298719,+,,Ceacam18
ENSMUSG00000047728.14,304.230263308956,1.19310579192379,0.202195737796628,5.90074649903769,3.61860537877207e-09,1.7389570008227e-05,chr15,75088224,75094510,+,,Ly6g2
ENSMUSG00000031762.8,893.095670842396,1.70302128593864,0.299313750222036,5.68975292540121,1.27223318853573e-08,4.92159553262745e-05,chr8,94899291,94900196,+,,Mt2
ENSMUSG00000046761.14,4413.85937157446,1.04819631713035,0.184889790005031,5.66930341097704,1.43379260564309e-08,4.92159553262745e-05,chr15,75872941,75886185,-,,Fam83h
ENSMUSG00000031765.9,3071.98413737087,1.63222835551047,0.293249096308105,5.56601324968979,2.60633434662396e-08,6.9583335200756e-05,chr8,94905709,94906955,+,,Mt1
ENSMUSG00000031887.14,1481.54943593363,1.004995483326,0.181317952362723,5.54272464601588,2.97800970752313e-08,7.15556172523657e-05,chr8,105984917,105991241,-,,Tradd
ENSMUSG00000039438.8,51.192907438061,1.46654977468232,0.272431183576302,5.38319349286816,7.3175802770791e-08,0.000134971149818,chr9,44710693,44714369,-,,Ttc36
ENSMUSG00000035105.6,1355.08666920242,1.14672706083225,0.214042434128837,5.35747533193352,8.43928856117882e-08,0.0001351861503653,chr12,54225766,54250646,-,,Egln3
ENSMUSG00000027983.14,298.740404365055,1.23355764410156,0.245421352723694,5.0262849194314,5.00072755274236e-07,0.000632407798091,chr3,131082089,131096876,-,,Cyp2u1
ENSMUSG00000102419.2,74.8527180370389,-1.13968840717883,0.228247285253883,-4.99321779845545,5.93815278568765e-07,0.0007134096756725,chr9,56321314,56323350,-,,Gm36940
ENSMUSG00000117332.2,24.8422049226797,-1.48438383908958,0.29962016177002,-4.95421880263502,7.26214528402977e-07,0.0007931583040212,chr17,67233819,67237194,-,,Gm49942
ENSMUSG00000013483.15,1089.07188901717,1.24431871152566,0.253396631922163,4.91055742172564,9.08178561811229e-07,0.0009487701949217,chr11,119198593,119236201,+,,Card14
ENSMUSG00000017607.10,9697.25330219941,1.12292082990276,0.229197651210127,4.89935574807994,9.61514128823642e-07,0.0009626358953072,chr11,98956503,98980132,-,,Tns4
ENSMUSG00000020838.13,580.058636486614,1.55012990993081,0.319918197993696,4.84539460290832,1.26360278667352e-06,0.001124512879933,chr11,76889428,76923166,+,,Slc6a4
ENSMUSG00000034282.4,2621.34197946375,1.03588800152878,0.213563019454765,4.85050269552025,1.23148960191713e-06,0.001124512879933,chr11,116111384,116128903,-,,Evpl
ENSMUSG00000112850.2,12.5582075203479,1.86829070122601,0.393525837518988,4.74756807076452,2.0587711111648e-06,0.0014667643822208,chr10,128385562,128386682,-,,Gm9176
ENSMUSG00000024254.16,226.769842924231,1.687964222569,0.355665564720551,4.74593098124426,2.075494797549e-06,0.0014667643822208,chr17,84983729,85007761,+,,Abcg8
ENSMUSG00000024503.4,3841.15892077311,1.90157210829457,0.4046807205416,4.69894415960715,2.61509937308977e-06,0.0017469084442201,chr18,43861146,43870622,-,,Spink1
ENSMUSG00000104107.2,93.9693480842304,-1.15697829548191,0.247340324999603,-4.6776775905173,2.90142262079016e-06,0.0018841995333066,chr9,71846872,71848867,-,,Gm37879
ENSMUSG00000112637.2,257.269931303219,-1.26756490706049,0.274416503096229,-4.61912783217706,3.85356402775341e-06,0.0022583764989965,chr12,78308066,78313149,+,,Gm48225
ENSMUSG00000042745.10,2072.28291661524,1.0942352271289,0.241237876815587,4.53591799750991,5.7353463098484e-06,0.0031824772044666,chr2,152578170,152579330,+,,Id1
ENSMUSG00002075486.1,210.070957050263,-1.36567266290746,0.301303759296147,-4.53254438676006,5.82774250859556e-06,0.0031824772044666,chr17,21504364,21504474,-,,Gm55632
ENSMUSG00000112317.2,79.7968315942291,-1.10571719189793,0.244271771196406,-4.52658604996513,5.99441969439574e-06,0.0032007536981542,chr10,52255291,52257322,-,,Gm47580
ENSMUSG00000060981.8,1906.76013178649,1.22918329218758,0.274763529441804,4.47360424683994,7.69120343167646e-06,0.0036960847211264,chr13,23715219,23715689,+,,H4c8
ENSMUSG00000093805.8,173.350788145633,1.55810885132389,0.349549557238703,4.45747625496168,8.29302198861613e-06,0.003832014083509,chr1,93846032,93870372,+,,Gal3st2b
ENSMUSG00000028940.3,112.291410711464,1.33532902349059,0.30090702557899,4.43767978139166,9.09337633559563e-06,0.0041225593696545,chr4,152243323,152246926,+,,Hes2
ENSMUSG00000106337.2,55.559650081695,-1.27756300026476,0.288967447512092,-4.42113120790639,9.81855281204588e-06,0.0042894579448697,chr5,58087091,58088558,+,,Gm42478
ENSMUSG00000053746.9,211.101768910365,1.00215183480971,0.229842305040187,4.36017135589763,1.29960633020376e-05,0.00557623944681,chr2,32665797,32667609,+,,Ptrh1
ENSMUSG00000024731.16,33.0400634295129,1.65076143166283,0.383274084641139,4.30699986723195,1.65483709349777e-05,0.0067393941834854,chr19,10939656,10952034,-,,Ms4a10
ENSMUSG00000074115.6,26376.5096816977,1.23157587328636,0.286304838386774,4.30162438129184,1.69550554972089e-05,0.0067899345581155,chr7,46389920,46392404,-,,Saa1
