GeneID,Base mean,log2(FC),StdErr,Wald-Stats,P-value,P-adj,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Strand,Gene name
ENSG00000119922,511.286895911746,1.92350136258872,0.217942990648076,8.825708763879,1.08768741829588e-18,1.24159518798475e-14,10,89283694,89309271,1,IFIT2
ENSG00000124882,1249.28490651907,1.82753200494757,0.216762714001182,8.43102566494719,3.42648586715896e-17,1.95566680868097e-13,4,74365145,74388749,1,EREG
ENSG00000167996,50544.9363568891,1.082439167662,0.14141366782109,7.65441689152319,1.94191351014143e-14,7.38898090608813e-11,11,61959718,61967634,-1,FTH1
ENSG00000127324,169.623424121382,-2.50247276703908,0.342540378979244,-7.30562853493752,2.75973621673217e-13,7.87559722849942e-10,12,71125085,71441898,-1,TSPAN8
ENSG00000136810,1564.36048790428,1.3475928789881,0.187740813917893,7.17794309540738,7.076800135337479e-13,1.61563347089755e-09,9,110243810,110256507,-1,TXN
ENSG00000150893,119.966330843573,-2.20184562703312,0.311266795509199,-7.07382110395405,1.50724573801664e-12,2.45788715706571e-09,13,38687077,38887131,1,FREM2
ENSG00000166509,275.486601509866,-2.18051214292666,0.307983699864142,-7.07995956892696,1.44196525483504e-12,2.45788715706571e-09,16,78022515,78066761,1,CLEC3A
ENSG00000064651,2805.63486942072,-1.72398991137389,0.244731241071592,-7.04442107115195,1.86234176568186e-12,2.65732890690731e-09,5,128083766,128189677,1,SLC12A2
ENSG00000138449,463.685417348384,-1.76598638375355,0.252137902138043,-7.00404964417723,2.48667935362486e-12,3.1539383135142e-09,2,189560590,189583758,-1,SLC40A1
ENSG00000001626,253.091883604687,-2.16183957076951,0.313667488627959,-6.8921378502624,5.4960074586313585e-12,6.2736925140277e-09,7,117287120,117715971,1,CFTR
ENSG00000165376,104.50518264064,-2.16102733275783,0.323048318030939,-6.68948640850334,2.23955183011685e-11,2.32404401279854e-08,X,106900164,106930861,1,CLDN2
ENSG00000163993,1064.90135380486,1.12938433930903,0.172021212942858,6.56537830415241,5.19009260447856e-11,4.93707559001023e-08,4,6693878,6697170,1,S100P
ENSG00000118849,97.1905640662802,-2.47070712386995,0.378974099472015,-6.51946169226901,7.056015648319109e-11,6.19572450965866e-08,3,158696892,158732489,-1,RARRES1
ENSG00000064787,366.821618738396,-1.47279820235012,0.227235614470457,-6.48137047435228,9.08931795575372e-11,7.38475882998023e-08,20,53936777,54070594,-1,BCAS1
ENSG00000272398,374.999692840278,-1.52603946357979,0.235809543268625,-6.47149153688571,9.704019487490448e-11,7.38475882998023e-08,6,106969831,106975627,-1,CD24
ENSG00000073910,1598.56896214028,-1.1500898264325,0.179626770244171,-6.40266383941076,1.52689133933406e-10,1.08934153990614e-07,13,31846713,32299125,1,FRY
ENSG00000257743,179.695336196934,-1.81476211769086,0.284679932296494,-6.37474550120655,1.83267025155362e-10,1.23058417185203e-07,7,142111718,142222324,1,MGAM2
ENSG00000184564,60.883068182872,-2.34717676700581,0.370717524860302,-6.33144270125968,2.42879366907416e-10,1.54025998513787e-07,13,85792790,85806683,-1,SLITRK6
ENSG00000173702,268.858472146152,-1.55591510967446,0.248599874354989,-6.25871237349334,3.88169025922801e-10,2.33207864784672e-07,3,124905442,124953819,-1,MUC13
ENSG00000113494,95.9759616621432,-2.11354970143596,0.339333716080582,-6.22852844052211,4.70836625689238e-10,2.68730004112132e-07,5,35048756,35230487,-1,PRLR
ENSG00000128567,1580.87818089877,1.0726495674813,0.174228882793902,6.15655424221571,7.43447192337132e-10,4.04116652406113e-07,7,131500262,131558217,-1,PODXL
ENSG00000006611,289.775269107459,-1.76494252788503,0.294085973765825,-6.00145088623106,1.95562098546658e-09,1.01470061586823e-06,11,17493895,17544416,-1,USH1C
ENSG00000003436,364.480149071381,-1.36932819305728,0.229837593022505,-5.95780775046317,2.556439954938e-09,1.26877226459205e-06,2,187464230,187565760,-1,TFPI
ENSG00000171431,1690.15505680437,1.05870775228719,0.178728206807567,5.92356277275855,3.15040392378853e-09,1.49841086625192e-06,17,40875889,40885242,-1,KRT20
ENSG00000198734,214.948890660663,-1.59462835246791,0.270942340816837,-5.88548968633114,3.96877136838425e-09,1.81214100680425e-06,1,169511951,169586588,-1,F5
ENSG00000137868,70.968976791972,-2.15282860166928,0.373017502674142,-5.77138763257962,7.86213795298323e-09,3.20522516904656e-06,15,74179466,74212267,-1,STRA6
ENSG00000124429,526.719325923215,-1.31772811371231,0.229038047369259,-5.75331535021273,8.751002402950031e-09,3.44457560102326e-06,X,85277396,85379717,-1,POF1B
