GeneID,Base mean,log2(FC),StdErr,Wald-Stats,P-value,P-adj,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Strand,Gene name
ENSMUSG00000020038,745.136109452226,-1.53971191608353,0.148057443370693,-10.3994225553965,2.49440182885381e-25,5.427070059037231e-21,10,84967564,85020928,-1,Cry1
ENSMUSG00000020889,1987.9980720037,2.10353595360851,0.232092317728964,9.06335881424995,1.2649409638814e-19,1.37606602755838e-15,11,98658758,98666159,-1,Nr1d1
ENSMUSG00000028150,3755.10630598262,-1.43280122652227,0.185996981853769,-7.70335739989985,1.32536993880333e-14,7.209018439636039e-11,3,94280101,94305583,1,Rorc
ENSMUSG00000110496,38.5739304922498,-2.25259749248567,0.291152583704786,-7.73682810512062,1.01927717859311e-14,7.209018439636039e-11,8,93916956,93917986,-1,Gm45909
ENSMUSG00000056973,2897.10606424511,-1.61314867163197,0.234178237244897,-6.88855074925251,5.6363627150965494e-12,1.11482130538505e-08,8,93892696,93924466,-1,Ces1d
ENSMUSG00000057074,1566.25524816781,-1.9546425339181,0.293917736263117,-6.65030480558783,2.92486661642996e-11,5.30302691447223e-08,8,94028997,94063936,-1,Ces1g
ENSMUSG00000062563,171.889034378539,-1.06377335773962,0.165219163476897,-6.43855915593212,1.20612952823729e-10,1.74945067639059e-07,12,24715832,24731812,-1,Cys1
ENSMUSG00000074183,457.097296324822,-1.72367952690149,0.270151816177359,-6.38041065683552,1.76613739433626e-10,2.40161570553588e-07,9,78137938,78149966,1,Gsta1
ENSMUSG00000032010,848.610897965077,-1.03020722759405,0.163486206410621,-6.30149325874334,2.94791606323058e-10,3.77281234045339e-07,9,43978318,44006924,1,Usp2
ENSMUSG00000043613,29.5381306815527,1.52418914431235,0.246663604156244,6.17922189828574,6.441830064198e-10,7.78638315037533e-07,9,7445822,7455975,1,Mmp3
ENSMUSG00000111709,280.535431979141,-1.54328930752275,0.262233310041,-5.88517647617482,3.97629478968981e-09,4.11963074948958e-06,9,78164411,78176448,1,Gsta13
ENSMUSG00000027556,20046.649962936,-1.87658430330853,0.322660843389179,-5.81596540688724,6.028493361955931e-09,5.96190591254888e-06,3,14831276,14873428,-1,Car1
ENSMUSG00000032348,784.327715295706,-1.27003706829223,0.230436071093056,-5.51145079964219,3.55887916060223e-08,2.67251536047548e-05,9,78090056,78116631,1,Gsta4
ENSMUSG00000070687,16.5465060309698,-1.48564487727566,0.270139943134263,-5.49953798034701,3.80787682928437e-08,2.67251536047548e-05,4,136150835,136171709,1,Htr1d
ENSMUSG00000006403,119.001783662632,1.65183483904777,0.303511475833652,5.44241312296575,5.2563597814929e-08,3.36360646370415e-05,1,171077990,171088206,1,Adamts4
ENSMUSG00000020405,555.176632558228,-1.6890070764104,0.324025071599237,-5.21258144647339,1.86230760284965e-07,0.0001066269118821,11,43486876,43492367,-1,Fabp6
ENSMUSG00000071551,5860.91814841961,-1.31160575877548,0.254461007457896,-5.1544469303121,2.54380586786487e-07,0.0001327098438228,13,4278699,4302842,1,Akr1c19
ENSMUSG00000055866,3751.64384370307,-1.30834967547926,0.257517513967434,-5.08062405279632,3.76196971082994e-07,0.0001860208522693,1,91343704,91387046,-1,Per2
ENSMUSG00000019970,5631.19232449904,-1.22110323620626,0.245263183254178,-4.978746585625,6.39973705054171e-07,0.0002962533595928,10,21758083,21875802,1,Sgk1
ENSMUSG00000028212,338.021585908006,-1.04368482556369,0.214176315155033,-4.87301700380927,1.09906759289857e-06,0.0004122829934257,4,11191351,11204779,1,Ccne2
