GeneID,Base mean,log2(FC),StdErr,Wald-Stats,P-value,P-adj,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Strand,Gene name
ENSMUSG00000021091,422.57657079837,2.04498717911885,0.298312409751102,6.85518641623087,7.1219585213424295e-12,1.53029522748085e-07,12,104372988,104380588,1,Serpina3n
ENSMUSG00000003477,60.8205537483459,2.25763447293798,0.353312409085548,6.38990993489656,1.65983488381416e-10,1.78324360742574e-06,6,55147611,55152028,-1,Inmt
ENSMUSG00000019789,72.4305311847131,1.32949500835154,0.221694341661587,5.99697312248498,2.01029317366508e-09,1.33025116208553e-05,10,30708355,30718797,-1,Hey2
ENSMUSG00000020963,63.7269988378816,2.2995844627532,0.389314323105119,5.9067553549328,3.48911296807932e-09,1.33025116208553e-05,12,91351337,91516582,1,Tshr
ENSMUSG00000046618,233.841327868435,1.34438594326478,0.228000108292666,5.89642677510968,3.71457484642491e-09,1.33025116208553e-05,2,38821990,38853765,1,Olfml2a
ENSMUSG00000062515,2290.13840839,2.20987750933221,0.381109451442557,5.79853766671881,6.689567880645e-09,2.0534106435917e-05,3,10269148,10273636,-1,Fabp4
ENSMUSG00000026586,36.6548678488362,1.9132655466521,0.334972432785377,5.71171045552266,1.1184626783341e-08,3.00405094617059e-05,1,163072688,163141279,-1,Prrx1
ENSMUSG00000028427,66.3178500405929,2.08912233384154,0.368253171245918,5.6730599950392,1.40269077095414e-08,3.34884628838794e-05,4,41033074,41048139,-1,Aqp7
ENSMUSG00000022935,47.4664661161551,1.42255131360362,0.251723425082762,5.65124724938057,1.59287775235646e-08,3.42261642648831e-05,16,87692788,88087153,-1,Grik1
ENSMUSG00000002265,1524.9344929803,1.02362358726142,0.185458762122797,5.51941345636533,3.40133055203174e-08,5.68355695437598e-05,7,6706891,6733430,-1,Peg3
ENSMUSG00000064115,64.6897585200484,1.46664987661357,0.264978984604063,5.53496677785625,3.11287352092066e-08,5.68355695437598e-05,16,66452307,67417796,-1,Cadm2
ENSMUSG00000022665,890.281554167311,1.4717716040785,0.269956625382421,5.45188176801954,4.98395893897398e-08,7.64930898012384e-05,16,44913765,44948440,1,Ccdc80
ENSMUSG00000062609,29.0129956450954,1.7945152032007,0.331244107383657,5.41750075910705,6.04378931089479e-08,8.6575267282131e-05,16,95058417,95101119,1,Kcnj15
ENSMUSG00000041653,83.5873439723795,1.89921458203553,0.353065200970395,5.37921771054061,7.48101971006704e-08,0.0001004654190688,15,84052038,84071437,1,Pnpla3
ENSMUSG00000047216,356.710208635146,1.46866937676943,0.275484104160791,5.33123092979699,9.75492755797104e-08,0.00012329654614,1,110816056,110905314,-1,Cdh19
ENSMUSG00000024481,28.172957650868,1.68371754963831,0.319152732898749,5.27558556163912,1.32332849879202e-07,0.0001579686636308,18,46983105,47040309,1,Lvrn
ENSMUSG00000120082,32.6308911492474,1.53898629757109,0.294195024365151,5.23117717878504,1.68433972477186e-07,0.0001904810929798,16,95259464,95259988,-1,Gm56622
ENSMUSG00000002944,1188.86168480772,1.82619960245887,0.350380176841009,5.21205171743361,1.86763462763213e-07,0.0002006493262196,5,17986688,18093799,-1,Cd36
ENSMUSG00000031842,156.159311206773,1.04936864726647,0.201786114754567,5.2004006744608,1.98859367593865e-07,0.0002034710110233,8,71176369,71203835,1,Pde4c
ENSMUSG00000031722,55.3582434564074,2.01694894632783,0.392094943923875,5.14403201975342,2.68903671307172e-07,0.0002517682000732,8,110301760,110305804,-1,Hp
ENSMUSG00000046275,148.16526253948,1.84862670257826,0.359401978151006,5.1436186080243,2.69496374630497e-07,0.0002517682000732,11,76570634,76589490,1,Trarg1
ENSMUSG00000048138,8.58150073993108,2.03221229541,0.396630319889493,5.12369376092125,2.99607454513875e-07,0.0002682360572974,19,25649775,25656355,1,Dmrt2
ENSMUSG00000033981,100.203444973542,1.24201868546236,0.242990676810573,5.11138411466952,3.19806978676714e-07,0.000274867702033,3,80588757,80710142,-1,Gria2
ENSMUSG00000056073,122.400964838473,1.25778799308256,0.247397676258405,5.08407359400096,3.69424689980349e-07,0.0003053010889849,10,48970929,49664862,-1,Grik2
ENSMUSG00000039601,175.884227923008,1.11063215199285,0.21966316039911,5.05606925610524,4.27985964787311e-07,0.0003405975713105,17,44112242,44350407,1,Rcan2
ENSMUSG00000038508,44.598734321391,-1.61720023149292,0.322064991089353,-5.02134748027997,5.13102385699851e-07,0.000393751105769,8,71082043,71085106,-1,Gdf15
ENSMUSG00000015568,3114.78042588013,1.90324480516489,0.381220981263328,4.99249752429084,5.96034779919653e-07,0.0004416206660735,8,69333143,69360100,1,Lpl
ENSMUSG00000074264,92.7997124032154,1.8800512433472,0.379132122660509,4.95882867997096,7.09194725849282e-07,0.0004915634540104,3,113349359,113400348,-1,Amy1
ENSMUSG00000055782,226.926372159128,1.80206538683979,0.36472240356914,4.94092320407231,7.77535309409456e-07,0.00052209066229,15,91030074,91076002,-1,Abcd2
ENSMUSG00000040026,90.3086687908463,1.94318422288435,0.39393640270578,4.93273586684919,8.10857723688743e-07,0.0005245685797741,7,46361422,46365124,-1,Saa3
ENSMUSG00000051504,54.5458405580786,1.1549336857915,0.234353664726156,4.92816567277089,8.30052204231434e-07,0.0005245685797741,7,55417926,55428673,1,Siglech
ENSMUSG00000094088,56.0797656446914,-1.89655211758328,0.38658379720179,-4.90592759270071,9.29868262244814e-07,0.0005550022041903,12,115471165,115471651,-1,Ighv1-64
ENSMUSG00000020649,469.939195392983,-1.13563717567162,0.234234398563497,-4.84829377169284,1.24527896646422e-06,0.0006692575056998,12,24758240,24764145,1,Rrm2
ENSMUSG00000032401,23.916885183068,1.96312714688534,0.404918975191054,4.84819745964998,1.24588356811073e-06,0.0006692575056998,9,64024429,64045400,1,Lctl
ENSMUSG00000075420,1545.81967193124,-1.01159066000927,0.209170437719907,-4.83620281640305,1.32342891043994e-06,0.0006935735853322,11,115802843,115804746,1,Smim6
ENSMUSG00000029762,1338.85826704532,-1.3488808618672,0.281431004953775,-4.79293623703172,1.64357874500783e-06,0.0008408470593805,6,34331054,34345398,1,Akr1b8
ENSMUSG00000055421,212.754278623735,1.06361374441606,0.224218514186745,4.74364816961641,2.0990328337004e-06,0.0010488818255283,14,93250846,94128115,-1,Pcdh9
ENSMUSG00000037996,39.600938639694,1.85130897582246,0.392030296714557,4.72236199941053,2.33121266686825e-06,0.0011018547781286,4,86901361,87148714,-1,Slc24a2
ENSMUSG00000049939,17.6378886273595,1.65646162618543,0.350948059423437,4.71996234686917,2.35888303597135e-06,0.0011018547781286,6,28661830,28831746,-1,Lrrc4
ENSMUSG00000084844,130.196774884794,1.17173845292834,0.249812157995085,4.69047808694479,2.72567420450988e-06,0.0012201367006729,11,96233787,96245517,-1,Hoxb3os
ENSMUSG00000059824,1150.02164988042,1.82560312236932,0.392433767387212,4.65200315080943,3.28726055450826e-06,0.0014414972966269,7,45354512,45359627,1,Dbp
ENSMUSG00000026058,59.5566620840634,1.01422067529796,0.219155369006313,4.62786141127459,3.69461112196217e-06,0.0014978511165585,1,32211795,32697649,1,Khdrbs2
ENSMUSG00000032942,21.1889287272608,1.86028128746677,0.401832877629302,4.6294899970403,3.66567432359166e-06,0.0014978511165585,7,100122197,100135639,1,Ucp3
ENSMUSG00000035455,226.342480324878,-1.08218018549396,0.233238437387043,-4.63980207386725,3.48743026544392e-06,0.0014978511165585,11,11737431,11758962,-1,Fignl1
ENSMUSG00000041014,31.3103745727306,1.40646062467115,0.303658616377461,4.63171650272835,3.62646503787069e-06,0.0014978511165585,14,38090909,39195045,-1,Nrg3
ENSMUSG00000022769,568.235528304492,-1.1166394468807,0.241544818488255,-4.62290788876929,3.78397775823217e-06,0.0015056727794654,16,16948002,16950247,-1,Sdf2l1
ENSMUSG00000020264,96.6208313338593,1.78120214406,0.386230521907475,4.6117591516672,3.99275466408759e-06,0.0015320057047723,11,55049296,55075903,-1,Slc36a2
