GeneID,Base mean,log2(FC),StdErr,Wald-Stats,P-value,P-adj,Chromosome,Start,End,Strand,Feature,Gene name
ENSMUSG00000085154.10,48.2784314832001,-3.79720114789926,0.390678009502559,-9.71951595825459,2.48962145346866e-22,7.502723212173139e-18,chr11,103588249,103614782,+,,C130046K22Rik
ENSMUSG00000143907.1,75.537779767625,-2.96420925012691,0.362762046482633,-8.17122209687617,3.05281035410695e-16,4.59997464156835e-12,chr11,105919120,105924288,-,,ENSMUSG00000143907
ENSMUSG00000026669.15,513.029633773288,-1.11147173560996,0.187402233962547,-5.93094176151651,3.01202042533415e-09,2.26925618844675e-05,chr2,4994524,5017602,-,,Mcm10
ENSMUSG00000022445.8,394.815517351168,1.74609904207132,0.293219348392752,5.95492436512923,2.60192134295813e-09,2.26925618844675e-05,chr15,82674301,82678495,-,,Cyp2d26
ENSMUSG00000103527.2,255.447531725573,-2.22627002204322,0.381759223014781,-5.83160769361955,5.489586323163311e-09,2.75723622391416e-05,chr3,51580221,51581322,+,,Gm37261
ENSMUSG00000137801.1,47.699461514557,1.55244316774294,0.265983820993903,5.83660751222356,5.3274390904789606e-09,2.75723622391416e-05,chr4,46576338,46584930,+,,ENSMUSG00000137801
ENSMUSG00000020889.12,2664.3181621254,1.96343310365454,0.340348021781707,5.76889823944343,7.97914650572425e-09,3.43513655852151e-05,chr11,98658757,98666159,-,,Nr1d1
ENSMUSG00000094091.4,432.864865956719,1.76479455319616,0.311003462459187,5.6745173807438,1.3908019644006e-08,5.23915099989706e-05,chr11,94172698,94177079,+,,Ankrd40cl
ENSMUSG00000068547.8,5864.60276797791,-2.13096662065364,0.384260738379198,-5.54562672637856,2.92903100048487e-08,9.8076975811791e-05,chr3,144658240,144680806,-,,Clca4a
ENSMUSG00000040808.5,311.638893747153,2.57346957496722,0.468388248722193,5.49430858265101,3.92244110299705e-08,0.0001182066850799,chrX,161744987,161747595,-,,S100g
ENSMUSG00000059824.13,1258.15344086151,2.34983713242582,0.451830396122098,5.20070617779071,1.98532746091277e-07,0.0005439075305642,chr7,45354511,45359627,+,,Dbp
ENSMUSG00000041831.18,27.7935641002785,1.70116615722244,0.328351145534797,5.18093565488157,2.20775647043783e-07,0.0005544412416092,chr17,6926491,7005443,+,,Sytl3
ENSMUSG00000018381.16,375.37470329358,1.31250416480415,0.255915694285896,5.12865835941225,2.9181436726214e-07,0.0006764705978316,chr11,95720899,95733302,-,,Abi3
ENSMUSG00000093861.3,255.656187144516,2.33081564597434,0.459599691743644,5.07140384957966,3.94891766971756e-07,0.0008389195292454,chr6,68247468,68248251,+,,Igkv1-110
ENSMUSG00000054293.11,17.8008700312629,1.81753139959667,0.359141280454306,5.06076994907834,4.17566795151371e-07,0.0008389195292454,chrX,106192532,106217267,+,,P2ry10b
ENSMUSG00000103313.2,283.631220733731,-1.87184551555728,0.37482439010689,-4.99392666262588,5.9163871661654e-07,0.0009905346868864,chr3,51139337,51141801,+,,Gm38357
ENSMUSG00000048489.13,105.348282723035,1.98913810412314,0.397776168664544,5.00064674764526,5.71383185196504e-07,0.0009905346868864,chr6,116627569,116629755,+,,Depp1
ENSMUSG00000025002.6,17274.4607315509,-1.97257581968758,0.394953225353803,-4.99445426207249,5.90023720763519e-07,0.0009905346868864,chr19,38995462,39031137,+,,Cyp2c55
