GeneID,Base mean,log2(FC),StdErr,Wald-Stats,P-value,P-adj,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Strand,Gene name
ENSG00000276700,218.245884588186,-2.00802247469694,0.289344685412522,-6.93989755448273,3.9238438465015294e-12,5.20380170923033e-08,KI270733.1,128877,129029,1,RNA5-8SN4
ENSG00000001626,204.439834840587,-1.55719275882356,0.302404728119847,-5.14936644180519,2.61367807329572e-07,0.0017331299304023,7,117287120,117715971,1,CFTR
ENSG00000162896,38.5400196095332,-1.59714074166531,0.31831891990026,-5.01742322500261,5.23691183865316e-07,0.0023150641601406,1,206928522,206946466,-1,PIGR
ENSG00000234745,265.886267916032,1.33668183143876,0.289111082773624,4.62341954730732,3.77465181369445e-06,0.0125148580883039,6,31353872,31367067,-1,HLA-B
ENSG00000111331,1147.62110407462,1.22956336808649,0.269903502827357,4.55556654584427,5.22445720489459e-06,0.0137812519122225,12,112938051,112976460,1,OAS3
ENSG00000275216,194.148899801646,1.3844859276736,0.306419995339454,4.51826234818606,6.23492018348177e-06,0.0137812519122225,N/A,N/A,N/A,N/A,N/A
ENSG00000138131,290.163781451573,1.28136286728979,0.29040192960524,4.41237724911683,1.02241763053639e-05,0.0193704323088195,10,98247690,98268194,-1,LOXL4
ENSG00000274917,32.9007640695281,-1.40451399622063,0.320731463091537,-4.37909640258705,1.19172409081341e-05,0.0197558061154592,GL000220.1,112025,112177,1,RNA5-8SN5
ENSG00000088002,227.17977036928,1.1466355918529,0.263623974596261,4.34951181359347,1.36440933873693e-05,0.0201053296114769,19,48552172,48599425,1,SULT2B1
ENSG00000286171,72.5643367261683,-1.34560753865195,0.316791830248343,-4.24760808256037,2.16064936475643e-05,0.0286545318753998,7,148941483,148941638,1,
ENSG00000131016,46.7014240216346,1.35403437976787,0.320632458981836,4.22301093304025,2.41060121518627e-05,0.0290630848325457,6,151239967,151358559,1,AKAP12
ENSG00000007062,101.622519558525,-1.25095617917875,0.303846145435551,-4.11707108341149,3.83717750601434e-05,0.0424072067373018,4,15963076,16084378,-1,PROM1
